	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position	burden_FDR	skato_FDR	skat_FDR
19403	GCK	ENSG00000106633	8.974787652502851e-25	9.20860528833246e-24	1.16596373733472e-13	0.177681248339761	pLoF	7044139451.0	7	44139451.0	5.127719768755046e-19	4.997520756419687e-20	6.492552474974655e-09
19404	HNF1A	ENSG00000135100	2.83842171988624e-10	3.2770844236366103e-10	0.0002892020436531	0.0946957997370611	pLoF	12120978750.0	12	120978750.0	9.12405845228905e-06	5.26848916833818e-06	0.3779625123222405
19405	GIGYF1	ENSG00000146830	6.05422743271689e-07	5.28409420663678e-07	0.0003258063463736	0.0633256307431738	pLoF	7100676229.0	7	100676229.0	0.009807983393412083	0.008428090009085181	0.3779625123222405
19406	STAM2	ENSG00000115145	9.487450912e-06	8.0520848944e-06	0.0005711894825841	0.0399175205539957	pLoF	2152120520.0	2	152120520.0	0.07472871587662827	0.066037402072976	0.43770063833626577
19407	YAP1	ENSG00000137693	1.70354845503e-05	0.0004100930097774	1.33637091419e-05	0.0588416254636271	pLoF	11102110737.0	11	102110737.0	0.6104080134838482	0.1054004357443228	0.1860361949643899
19408	MAP3K15	ENSG00000180815	2.74960972869e-05	2.07060725164e-05	0.000480797027675	-0.0094008319208339	pLoF	23019355683.0	X	19355683.0	0.1441246177504022	0.1391902437567036	0.4318177691783016
19409	DPM1	ENSG00000000419	4.80879511561e-05	0.20984599635596	2.51741030201e-05	0.0189523487864196	pLoF	20050935125.0	20	50935125.0	0.9849237731580159	0.17851529814508482	0.23478084589599793
19410	IRS2	ENSG00000185950	7.01929446367e-05	0.0002275432736249	0.0002214160783188	0.0892749877371032	pLoF	13109756255.0	13	109756255.0	0.5414508508191372	0.21675235141342689	0.37609048606020445
19411	TM4SF20	ENSG00000168955	8.59982827053e-05	0.0002024107997882	0.0002035050026653	0.0674124627733576	pLoF	2227357038.0	2	227357038.0	0.5414508508191372	0.21675235141342689	0.37609048606020445
19412	DISC1	ENSG00000162946	0.0001012061119307	0.0062150885752513	6.10549891941e-05	0.0507983991460855	pLoF	1231626799.0	1	231626799.0	0.866014622979545	0.21675235141342689	0.27880790242755676
37761	ZNF280C	ENSG00000056277	4.58580704518e-05	4.83565949011e-05	9.55586909135e-05	0.0116456453321707	synonymous	23130204915.0	X	130204915.0	0.26926886304728526	0.17851529814508482	0.27880790242755676
37762	PIH1D1	ENSG00000104872	8.33381800742e-05	0.0081323594220014	5.80912011685e-05	0.0132668421305695	synonymous	19049441298.0	19	49441298.0	0.8987566819482566	0.21675235141342689	0.27880790242755676
37763	DDAH2	ENSG00000213722	9.05599819277e-05	0.0022936382737448	8.13084606228e-05	0.0090870519761704	synonymous	6031723323.0	6	31723323.0	0.7551271651750184	0.21675235141342689	0.27880790242755676
37764	PDGFRA	ENSG00000134853	9.43456965742e-05	0.140845495470984	4.11674021791e-05	0.0026274909016079	synonymous	4054258730.0	4	54258730.0	0.9849237731580159	0.21675235141342689	0.26814669803883834
