Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	181	22	7.802150120059907e-20	5.4976786891440306e-17	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A3:UGT1A1:AADAC:ADIPOQ:UGT2B17:UGT2B15:UGT2B7:UGT2B28:CYP3A5:CYP2C18:CYP2E1:GLYAT:SULT1A2:SULT1A1:ALDH3A1:CYP2B6:CYP2A13:KCNE2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS
GO_bp	GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	528	32	3.8777064890154467e-19	2.504675249696561e-16	DHRS3:AKR1A1:CHRNB2:TGFB2:UGT1A8:UGT1A4:UGT1A3:UGT2A1:UGT2A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:SYNJ2:CYP3A5:ALDH1A1:PTGR1:PTEN:CYP2C18:CYP2E1:ALDH3B1:LIMA1:ALDH2:ALDH1A3:SULT1A2:SULT1A1:LDHD:PANK2:ACSS1:AWAT2:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS
GO_bp	GOBP_HORMONE_METABOLIC_PROCESS	230	23	9.44380001826897e-19	5.63068414935406e-16	DHRS3:UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:ALDH1A1:CYP2C18:ALDH1A3:SULT1A1:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HORMONE_METABOLIC_PROCESS
GO_bp	GOBP_ISOPRENOID_METABOLIC_PROCESS	114	18	1.6234489193864489e-18	8.988108981545975e-16	DHRS3:UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:ALDH1A1:CYP2C18:CYP2E1:ALDH1A3:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ISOPRENOID_METABOLIC_PROCESS
GO_bp	GOBP_RETINOIC_ACID_METABOLIC_PROCESS	30	12	3.666172955563235e-18	1.8944337719047086e-15	UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:CYP2C18:ALDH1A3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RETINOIC_ACID_METABOLIC_PROCESS
GO_bp	GOBP_ALCOHOL_METABOLIC_PROCESS	352	25	1.0032036763148108e-16	4.859894809447561e-14	DHRS3:AKR1A1:UGT1A8:UGT1A4:UGT1A3:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:SYNJ2:CYP3A5:ALDH1A1:PTEN:CYP2C18:ALDH3B1:LIMA1:ALDH2:ALDH1A3:SULT1A2:SULT1A1:ACSS1:AWAT2:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ALCOHOL_METABOLIC_PROCESS
GO_bp	GOBP_ETHANOL_OXIDATION	9	8	1.285890972126365e-16	5.862906426442032e-14	ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:ACSS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ETHANOL_OXIDATION
GO_bp	GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	957	38	1.9991493694378133e-16	8.60855931250694e-14	DHRS3:MECR:PRKAB2:PM20D1:SH3YL1:UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1:AADAC:ADIPOQ:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:SYNJ2:MLXIPL:CYP3A5:ALDH1A1:PTGR1:PTEN:CYP2C18:CYP2E1:ALDH3B1:INPPL1:ACACB:PTGR2:RP5-1021I20.4:ALDH1A3:CYP2B6:CYP2A13:PANK2:ACSS1:RGN:AWAT2:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_LIPID_METABOLIC_PROCESS
GO_bp	GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS	419	26	6.147832467242496e-16	2.5079920765050836e-13	TGFB2:DNMT3A:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A3:UGT1A1:AADAC:ADIPOQ:UGT2B17:UGT2B15:UGT2B7:UGT2B28:CYP3A5:CYP2C18:CYP2E1:GLYAT:ACACB:HSP90AA1:SULT1A2:SULT1A1:ALDH3A1:CYP2B6:CYP2A13:KCNE2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS
GO_bp	GOBP_RETINOL_METABOLIC_PROCESS	49	12	3.427292244308428e-15	1.3282471092817311e-12	DHRS3:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:ALDH1A1:CYP2C18:ALDH1A3:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RETINOL_METABOLIC_PROCESS
GO_bp	GOBP_ESTROGEN_METABOLIC_PROCESS	37	11	4.547962223922092e-15	1.6786311998866732e-12	UGT1A8:UGT1A7:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:CYP3A5:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ESTROGEN_METABOLIC_PROCESS
GO_bp	GOBP_REGULATION_OF_HORMONE_LEVELS	520	26	9.951296082891922e-14	3.5060225426588765e-11	DHRS3:UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1:ADIPOQ:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:ALDH1A1:CYP2C18:ALDH1A3:SULT1A1:NLGN2:TRPM4:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_HORMONE_LEVELS
GO_bp	GOBP_STEROID_METABOLIC_PROCESS	307	20	6.902523468172053e-13	2.3261504087739815e-10	UGT1A8:UGT1A7:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:CYP3A5:CYP3A43:CYP2E1:LIMA1:SULT1A2:SULT1A1:CYP2B6:PANK2:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_STEROID_METABOLIC_PROCESS
GO_bp	GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	146	15	8.50911543362569e-13	2.748089738584697e-10	DHRS3:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:CYP3A5:ALDH1A1:CYP2C18:CYP2E1:ALDH1A3:CYP2B6:CYP2A13:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS
GO_bp	GOBP_FLAVONOID_METABOLIC_PROCESS	11	6	1.0772599099626495e-10	3.339936624848198e-08	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A3:UGT1A1:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FLAVONOID_METABOLIC_PROCESS
GO_bp	GOBP_XENOBIOTIC_GLUCURONIDATION	6	5	1.8455057448708143e-10	5.5017365494206465e-08	UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1:UGT2B28	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_XENOBIOTIC_GLUCURONIDATION
GO_bp	GOBP_ALDEHYDE_CATABOLIC_PROCESS	14	6	6.863735852536837e-10	1.970400614556038e-07	AKR1A1:ADH5:ADH4:ALDH3B1:ALDH2:ESD	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ALDEHYDE_CATABOLIC_PROCESS
GO_bp	GOBP_FATTY_ACID_METABOLIC_PROCESS	377	18	1.6060037743221367e-09	4.4457625909896003e-07	MECR:PRKAB2:PM20D1:ADIPOQ:ADH5:ADH4:ADH7:MLXIPL:PTGR1:CYP2C18:CYP2E1:ACACB:PTGR2:RP5-1021I20.4:CYP2B6:CYP2A13:PANK2:ACSS1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FATTY_ACID_METABOLIC_PROCESS
GO_bp	GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	66	9	2.757229179627824e-09	7.369408059067332e-07	AKR1A1:ADH5:ADH4:ALDH1A1:ALDH3B1:ALDH2:ESD:ALDH1A3:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS
GO_bp	GOBP_CELLULAR_DETOXIFICATION_OF_ALDEHYDE	9	5	3.8006293259200615e-09	9.819559301735466e-07	AKR1A1:ADH5:ADH4:ALDH1A1:ESD	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_DETOXIFICATION_OF_ALDEHYDE
GO_bp	GOBP_FLAVONOID_GLUCURONIDATION	4	4	3.9550939914417825e-09	9.88901081537589e-07	UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FLAVONOID_GLUCURONIDATION
GO_bp	GOBP_FLAVONE_METABOLIC_PROCESS	5	4	1.9651632679527693e-08	4.759993903094348e-06	UGT1A10:UGT1A9:UGT1A7:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FLAVONE_METABOLIC_PROCESS
GO_bp	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	376	16	6.661098586340986e-08	1.5645507619008785e-05	AKR1A1:ADIPOQ:ADH5:ADH4:BCKDHB:SYNJ2:ADHFE1:PTEN:ALDH3B1:ACACB:ALDH2:ESD:ALDH6A1:SULT1A2:SULT1A1:LDHD	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS
GO_bp	GOBP_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS	70	8	8.895268134449667e-08	2.027859509121158e-05	ADH4:SYNJ2:PTEN:ALDH3B1:ALDH2:SULT1A2:SULT1A1:LDHD	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS
GO_bp	GOBP_CELLULAR_RESPONSE_TO_ALDEHYDE	17	5	1.7719160852320404e-07	3.924034736181013e-05	AKR1A1:ADH5:ADH4:ALDH1A1:ESD	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_ALDEHYDE
GO_bp	GOBP_ALCOHOL_CATABOLIC_PROCESS	52	7	1.8433817644543326e-07	3.9689033489682035e-05	ADH4:SYNJ2:PTEN:ALDH3B1:ALDH2:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ALCOHOL_CATABOLIC_PROCESS
GO_bp	GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	117	9	4.335213454550677e-07	9.081686347627648e-05	AKR1A1:ABCG2:ADH5:ADH4:ALDH1A1:MGST1:ESD:HBA2:HBA1:SRXN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE
GO_bp	GOBP_ETHANOL_CATABOLIC_PROCESS	10	4	7.998645289909991e-07	0.00016315131484761144	ALDH3B1:ALDH2:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ETHANOL_CATABOLIC_PROCESS
GO_bp	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	477	16	1.5914386959611715e-06	0.00031628823929218054	DHRS3:PKLR:ADIPOQ:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:MLXIPL:ACO1:ALDH2:GIT1:PANK2:ACSS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
GO_bp	GOBP_DETOXIFICATION	137	9	1.6395533200712035e-06	0.00031770444459679745	AKR1A1:ABCG2:ADH5:ADH4:ALDH1A1:MGST1:ESD:HBA2:HBA1:SRXN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DETOXIFICATION
GO_bp	GOBP_RESPONSE_TO_TOXIC_SUBSTANCE	230	11	2.6177577087212944e-06	0.0004932195529139018	AKR1A1:DNMT3A:ABCG2:ADH5:ADH4:ALDH1A1:GLYAT:MGST1:ESD:HBA2:HBA1:SRXN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_TOXIC_SUBSTANCE
GO_bp	GOBP_PRIMARY_ALCOHOL_CATABOLIC_PROCESS	13	4	2.672586920704925e-06	0.0004932195529139018	ALDH3B1:ALDH2:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PRIMARY_ALCOHOL_CATABOLIC_PROCESS
GO_bp	GOBP_LIPID_MODIFICATION	193	10	3.7054744950753362e-06	0.000667933321193696	ADIPOQ:ADH5:ADH4:ADH7:SYNJ2:CYP3A5:PTEN:CYP2E1:INPPL1:ACACB	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_LIPID_MODIFICATION
GO_bp	GOBP_FATTY_ACID_OMEGA_OXIDATION	5	3	4.96715932035498e-06	0.0008750102702743511	ADH5:ADH4:ADH7	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FATTY_ACID_OMEGA_OXIDATION
GO_bp	GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	312	12	8.591329726678406e-06	0.0014618957319583613	MECR:AKR1A1:PRKAB2:PKLR:FMO3:MLXIPL:ALDH1A1:CYP2E1:ACACB:ALDH1A3:ACSS1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS
GO_bp	GOBP_EPOXYGENASE_P450_PATHWAY	17	4	8.675939062067426e-06	0.0014618957319583613	CYP2C18:CYP2E1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPOXYGENASE_P450_PATHWAY
GO_bp	GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	50	5	4.898718716123506e-05	0.008078716759292191	CHRNB2:TGFB2:ALDH2:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS
GO_bp	GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	211	9	5.3021058864272546e-05	0.00856179640118701	MECR:PRKAB2:PKLR:MLXIPL:CYP2E1:ACACB:ALDH1A3:ACSS1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS
GO_bp	GOBP_RESPONSE_TO_ETHANOL	123	7	6.072193758320722e-05	0.009605219147090595	CHRNB2:DNMT3A:UGT1A1:ADIPOQ:ADH6:ADH7:CYP2E1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_ETHANOL
GO_bp	GOBP_BIOGENIC_AMINE_METABOLIC_PROCESS	92	6	9.719296122828085e-05	0.015066852849608098	CHRNB2:TGFB2:ALDH2:SULT1A2:SULT1A1:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BIOGENIC_AMINE_METABOLIC_PROCESS
GO_bp	GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	105	6	0.00020134224559223543	0.030011610492027246	CHRNB2:TGFB2:CYP2E1:ALDH2:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS
GO_bp	GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	105	6	0.00020134224559223543	0.030011610492027246	PTGR1:CYP2C18:CYP2E1:PTGR2:RP5-1021I20.4:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS
GO_bp	GOBP_CARBOHYDRATE_METABOLIC_PROCESS	579	14	0.0002467536156713751	0.03608655235978921	AKR1A1:PKLR:ADIPOQ:SYNJ2:MLXIPL:PTEN:INPPL1:ACACB:ALDH2:NAGPA:GIT1:RGN:SLC35A2:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CARBOHYDRATE_METABOLIC_PROCESS
GO_bp	GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS	155	7	0.0002565315839525363	0.03682178346696498	MECR:PRKAB2:MLXIPL:CYP2E1:ACACB:ACSS1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS
GO_bp	GOBP_CELLULAR_KETONE_METABOLIC_PROCESS	208	8	0.00028013851449038333	0.039479156832999296	AKR1A1:ADIPOQ:ADH4:MLXIPL:ACACB:CYP2B6:PANK2:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_KETONE_METABOLIC_PROCESS
GO_bp	GOBP_AMINE_METABOLIC_PROCESS	112	6	0.0002858287848416963	0.03956176627335693	CHRNB2:TGFB2:ALDH2:SULT1A2:SULT1A1:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_AMINE_METABOLIC_PROCESS
GO_bp	GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1741	28	0.0003121568509279277	0.04202387381767045	AKR1A1:CASQ2:CHRNB2:PKLR:TGFB2:DNMT3A:UGT1A1:SH3BP4:FOXP1:ADIPOQ:ADH5:ADH4:ADH6:ADH7:UGT3A2:BCKDHB:MLXIPL:KANK1:ALDH1A1:CYP2E1:INPPL1:MGST1:ESD:HSP90AA1:CKB:HBA2:HBA1:GIT1:TRPM4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND
GO_bp	GOBP_ICOSANOID_METABOLIC_PROCESS	114	6	0.0003144606736453214	0.04202387381767045	PTGR1:CYP2C18:CYP2E1:PTGR2:RP5-1021I20.4:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ICOSANOID_METABOLIC_PROCESS
GO_bp	GOBP_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	117	6	0.00036157261467182613	0.04750083620883601	GLYAT:ACACB:SULT1A2:SULT1A1:PANK2:ACSS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS
GO_bp	GOBP_PIGMENT_METABOLIC_PROCESS	77	5	0.0003838058901481878	0.04958132424231006	UGT1A10:UGT1A9:UGT1A7:UGT1A4:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PIGMENT_METABOLIC_PROCESS
GWAScatalog	Total bilirubin levels in HIV-1 infection	10	8	6.385660615022519e-16	2.825654822147465e-12	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	
GWAScatalog	Liver disease biomarker	7	7	1.8671981234421547e-15	4.131175848115767e-12	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3	
GWAScatalog	Serum metabolite levels	332	22	3.222662222664473e-14	4.7534267784300976e-11	FMO3:SLC5A6:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:ABCG2:ADH4:MLXIPL:CPSF4:ZKSCAN5:CYP3A5:CYP3A43:CYP2C18:CELF1:PHLPP2	
GWAScatalog	Total bilirubin levels	17	8	3.2885474912437447e-13	3.637955662188393e-10	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	
