"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","benzaldehyde dehydrogenase [NAD(P)+] activity","GO:0019115","false","0.000004956750653391359","5.304802927489826","4","204","4","20195","ADH4,ALDH1A1,ALDH3A1,ALDH3B1"
"GO:MF","benzaldehyde dehydrogenase (NAD+) activity","GO:0018479","false","0.0004979438268322307","3.3028196473462743","3","204","3","20195","ALDH1A1,ALDH3A1,ALDH3B1"
"GO:MF","retinoic acid binding","GO:0001972","false","0.0006727582951925231","3.1721409386268182","20","204","5","20195","UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:MF","steroid hydroxylase activity","GO:0008395","false","0.0008664609519799425","3.062251004469692","37","204","6","20195","CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A43,CYP3A5"
"GO:MF","transferase activity","GO:0016740","false","0.0013349487659620953","2.8745354017802462","2341","204","47","20195","AKAP7,AWAT2,CDK8,CKB,DNMT3A,EEF2K,EPM2A,GIT2,GLYAT,GRK6,HIPK3,MGST1,PANK2,PCMTD1,PKLR,PRKAB2,PRKAR2A,SBK1,SMG1,STT3A,SULT1A1,SULT1A2,TENT2,TMTC1,TRIM45,TRPM7,TXK,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A2,ULK3,XYLT1"
"GO:MF","small molecule binding","GO:0036094","true","0.0016903838867250783","2.7720146557686496","2584","204","50","20195","ABCG2,ACACB,ACSS1,ADH4,ADH5,ADH7,ADIPOQ,AKAP7,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH6A1,CDK8,CKB,CYP2C18,CYP2E1,CYP3A5,DDX6,DHRS3,DNAH8,EEF2K,FMO3,GRK6,HBA2,HIPK3,HSP90AA1,KIF12,KIFC2,LDHD,MECP2,PANK2,PKLR,PRKAR2A,SBK1,SMG1,SRXN1,SULT1A1,TENT2,TP53I3,TRPM4,TRPM7,TXK,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9,ULK3,ZBTB21"
"GO:MF","aromatase activity","GO:0070330","false","0.0017846972781455097","2.748435438700465","24","204","5","20195","CYP2A13,CYP2C18,CYP2E1,CYP3A43,CYP3A5"
"GO:MF","3-chloroallyl aldehyde dehydrogenase activity","GO:0004028","false","0.001976905055368748","2.704014188005292","4","204","3","20195","ALDH1A2,ALDH3A1,ALDH3B1"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","GO:0016712","false","0.0021604729485903656","2.6654511671456147","43","204","6","20195","CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A43,CYP3A5"
"GO:MF","monocarboxylic acid binding","GO:0033293","false","0.009506760434505894","2.0219674499506697","82","204","7","20195","ACACB,ADH5,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:MF","arachidonic acid epoxygenase activity","GO:0008392","false","0.010639862055122462","1.9730640025943047","17","204","4","20195","CYP2A13,CYP2B6,CYP2C18,CYP2E1"
"GO:MF","protein homodimerization activity","GO:0042803","true","0.017827338246049585","1.7489134953746808","710","204","20","20195","ABCG2,ADIPOQ,ALDH1A3,CASQ2,EPM2A,FOXP2,HSP90AA1,MLX,SNRPC,TGFB2,TP53I3,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A6,UGT1A7,UGT1A8,UGT1A9,ZNF397"
"GO:MF","ion binding","GO:0043167","true","0.01793657198154321","1.7462605552582924","6120","204","89","20195","ABCG2,ACACB,ACO1,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ADIPOQ,ALDH1A3,ALDH6A1,CA14,CASQ2,CDK8,CELSR3,CHRNB2,CKB,CPSF4,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A43,CYP3A5,DDX6,DNAH8,DNMT3A,DTNA,EEF2K,FMO3,FOXP1,FOXP2,FOXP4,GIT1,GIT2,GRK6,HBA2,HIPK3,HSP90AA1,KDM8,KIF12,KIFC2,LDHD,LIMA1,MASP2,NECAB3,PANK2,PHLPP2,PKLR,PM20D1,PRKAR2A,RASA3,RGN,SBK1,SMG1,SNRPC,SRXN1,STT3A,SULT1A1,TENT2,TESMIN,TP53I3,TRIM45,TRPM4,TRPM7,TXK,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9,ULK3,VAT1L,XYLT1,ZBTB18,ZBTB21,ZBTB8B,ZKSCAN1,ZKSCAN5,ZNF215,ZNF394,ZNF397,ZNF483,ZSCAN25,ZSCAN32"
"GO:MF","arachidonic acid monooxygenase activity","GO:0008391","false","0.025921608736180966","1.586338048960177","21","204","4","20195","CYP2A13,CYP2B6,CYP2C18,CYP2E1"
"GO:MF","retinal dehydrogenase activity","GO:0001758","false","0.026860298867035115","1.5708891593671521","8","204","3","20195","ALDH1A1,ALDH1A2,ALDH1A3"
"GO:MF","alcohol dehydrogenase (NADP+) activity","GO:0008106","true","0.04494254506959275","1.3473423373823308","24","204","4","20195","ADH4,AKR1A1,ALDH3A1,DHRS3"
"GO:MF","monooxygenase activity","GO:0004497","false","0.046810315846751036","1.3296584285149777","105","204","7","20195","CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A43,CYP3A5,FMO3"
"GO:MF","S-(hydroxymethyl)glutathione dehydrogenase activity","GO:0051903","false","0.0497771272040754","1.3029701715164896","2","204","2","20195","ADH4,ADH5"
"GO:BP","cellular glucuronidation","GO:0052695","true","2.4281873791513165e-28","27.614717802526158","21","201","17","21110","UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","glucuronate metabolic process","GO:0019585","false","5.349935455629934e-28","27.27165145749893","26","201","18","21110","AKR1A1,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","uronic acid metabolic process","GO:0006063","false","5.349935455629934e-28","27.27165145749893","26","201","18","21110","AKR1A1,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","monocarboxylic acid metabolic process","GO:0032787","false","1.6414001079615574e-26","25.784785542347457","628","201","48","21110","ACACB,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADIPOQ,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,GIT1,GLYAT,LDHD,MECR,MLXIPL,PANK2,PKLR,PM20D1,PRKAB2,PTGR1,PTGR2,RGN,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","organic acid metabolic process","GO:0006082","false","4.612192715040561e-26","25.33609255451478","979","201","57","21110","ACACB,ACO1,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ADIPOQ,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH6A1,BCKDHB,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,FMO3,GIT1,GLYAT,LDHAL6A,LDHD,MECP2,MECR,MLXIPL,PANK2,PKLR,PM20D1,PRKAB2,PTGR1,PTGR2,RGN,SULT1A1,SULT1A2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","oxoacid metabolic process","GO:0043436","false","2.8837010271391616e-25","24.54004976787573","973","201","56","21110","ACACB,ACO1,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ADIPOQ,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH6A1,BCKDHB,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,GIT1,GLYAT,LDHAL6A,LDHD,MECP2,MECR,MLXIPL,PANK2,PKLR,PM20D1,PRKAB2,PTGR1,PTGR2,RGN,SULT1A1,SULT1A2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","carboxylic acid metabolic process","GO:0019752","false","6.4886309754810154e-24","23.187846924542054","951","201","54","21110","ACACB,ACO1,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ADIPOQ,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH6A1,BCKDHB,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,GIT1,GLYAT,LDHAL6A,LDHD,MECP2,MECR,MLXIPL,PANK2,PKLR,PM20D1,PRKAB2,PTGR1,PTGR2,RGN,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","small molecule metabolic process","GO:0044281","false","4.7996755540597245e-20","19.31878811884188","1865","201","68","21110","ABCG2,ACACB,ACO1,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ADIPOQ,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3B1,ALDH6A1,AWAT2,BCKDHB,CA14,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,DHRS3,ESD,FMO3,GIT1,GLYAT,INPPL1,LDHAL6A,LDHD,LIMA1,MECP2,MECR,MLXIPL,PANK2,PKLR,PM20D1,PRKAB2,PTGR1,PTGR2,RGN,SLC35A2,SULT1A1,SULT1A2,TP53I3,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","lipid metabolic process","GO:0006629","true","1.4694032066183857e-19","18.832859016747562","1418","201","59","21110","AADAC,ACACB,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ADIPOQ,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH3A1,ALDH3B1,APOC4,AWAT2,BCKDHB,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A43,CYP3A5,DHRS3,INPPL1,LIMA1,MECP2,MECR,MLXIPL,PANK2,PM20D1,PRKAB2,PTEN,PTGR1,PTGR2,RGN,SH3YL1,SMG1,SULT1A1,SULT1A2,SYNJ2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","terpenoid metabolic process","GO:0006721","false","7.608268810524506e-18","17.11871415158259","100","201","20","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2C18,CYP2E1,CYP3A5,DHRS3,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","retinoid metabolic process","GO:0001523","false","9.980412270141918e-18","17.000851518537317","86","201","19","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2C18,CYP3A5,DHRS3,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","diterpenoid metabolic process","GO:0016101","false","2.0199567936065707e-17","16.694657919909282","89","201","19","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2C18,CYP3A5,DHRS3,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","xenobiotic metabolic process","GO:0006805","false","3.0093642778045394e-17","16.5215252385594","124","201","21","21110","AADAC,ALDH3A1,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,GLYAT,SULT1A1,SULT1A2,UGT1A1,UGT1A10,UGT1A3,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2B15,UGT2B17,UGT2B28,UGT2B7"
"GO:BP","primary alcohol metabolic process","GO:0034308","false","3.9014716701800565e-17","16.40877154228661","108","201","20","21110","ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3B1,AWAT2,CYP2C18,CYP3A5,DHRS3,SULT1A1,SULT1A2"
"GO:BP","retinoic acid metabolic process","GO:0042573","false","7.212222306120387e-17","16.141930895256152","34","201","14","21110","ADH1A,ADH1B,ADH1C,ADH6,ADH7,ALDH1A2,ALDH1A3,CYP2C18,CYP3A5,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","ethanol metabolic process","GO:0006067","false","9.033641344562163e-17","16.04413715587885","20","201","12","21110","ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH2,ALDH3B1,SULT1A1,SULT1A2"
"GO:BP","cellular response to xenobiotic stimulus","GO:0071466","false","1.2275526910174268e-15","14.910959857309281","191","201","23","21110","AADAC,ADIPOQ,ALDH3A1,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,GLYAT,KCNE2,SULT1A1,SULT1A2,UGT1A1,UGT1A10,UGT1A3,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2B15,UGT2B17,UGT2B28,UGT2B7"
"GO:BP","hormone metabolic process","GO:0042445","false","1.7933560375157527e-15","14.746333480778892","244","201","25","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH6,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2C18,CYP3A5,DHRS3,SULT1A1,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","isoprenoid metabolic process","GO:0006720","false","6.302618934488476e-15","14.20047895015692","138","201","20","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2C18,CYP2E1,CYP3A5,DHRS3,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","cellular lipid metabolic process","GO:0044255","false","1.477570241769027e-13","12.830451864160699","1012","201","43","21110","AADAC,ACACB,ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADIPOQ,ALDH1A1,ALDH1A2,ALDH1A3,ALDH3B1,AWAT2,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,DHRS3,INPPL1,MECP2,MECR,MLXIPL,PANK2,PM20D1,PRKAB2,PTEN,PTGR1,PTGR2,RGN,SH3YL1,SMG1,SYNJ2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","ethanol oxidation","GO:0006069","false","1.0084797910201364e-12","11.996332800214109","9","201","8","21110","ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7"
"GO:BP","organic hydroxy compound metabolic process","GO:1901615","false","6.495407349804798e-12","11.187393607604811","567","201","31","21110","ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3B1,AWAT2,CHRNB2,CYP2C18,CYP2E1,CYP3A5,DHRS3,LDHD,LIMA1,MECP2,PANK2,PTGR1,SULT1A1,SULT1A2,TGFB2,UGT1A3,UGT1A4,UGT2A1"
"GO:BP","retinol metabolic process","GO:0042572","false","7.027859570869758e-12","11.153176925065997","55","201","13","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH6,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2C18,CYP3A5,DHRS3"
"GO:BP","response to xenobiotic stimulus","GO:0009410","false","2.0723713448337144e-11","10.683532421435405","434","201","27","21110","AADAC,ACACB,ADIPOQ,ALDH3A1,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,DNMT3A,GLYAT,HSP90AA1,KCNE2,SULT1A1,SULT1A2,TGFB2,UGT1A1,UGT1A10,UGT1A3,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2B15,UGT2B17,UGT2B28,UGT2B7"
"GO:BP","estrogen metabolic process","GO:0008210","false","1.1310079326702002e-10","9.94653434900663","39","201","11","21110","CYP3A5,SULT1A1,UGT1A1,UGT1A3,UGT1A7,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","alcohol metabolic process","GO:0006066","false","3.5457782703980264e-10","9.450288425800359","374","201","24","21110","ACSS1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3B1,AWAT2,CYP2C18,CYP3A5,DHRS3,LIMA1,MECP2,SULT1A1,SULT1A2,UGT1A3,UGT1A4"
"GO:BP","regulation of hormone levels","GO:0010817","false","6.698953141141585e-10","9.173993060067508","543","201","28","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH6,ADH7,ADIPOQ,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2C18,CYP3A5,DHRS3,NLGN2,SULT1A1,TRPM4,UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","olefinic compound metabolic process","GO:0120254","false","5.3339614292979855e-9","8.272950129085515","159","201","16","21110","ADH1A,ADH1B,ADH1C,ADH4,ADH6,ADH7,ALDH1A1,ALDH1A2,ALDH1A3,AWAT2,CYP2A13,CYP2B6,CYP2C18,CYP2E1,CYP3A5,DHRS3"
"GO:BP","steroid metabolic process","GO:0008202","false","8.687555538470683e-9","8.061102406001917","321","201","21","21110","CYP2B6,CYP2E1,CYP3A43,CYP3A5,LIMA1,MECP2,PANK2,SULT1A1,SULT1A2,UGT1A1,UGT1A3,UGT1A4,UGT1A7,UGT1A8,UGT2A1,UGT2B10,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7"
"GO:BP","xenobiotic glucuronidation","GO:0052697","false","9.236070644447533e-9","8.034512753929786","7","201","6","21110","UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9,UGT2B28"
"GO:BP","fatty acid metabolic process","GO:0006631","false","1.0629428143819947e-8","7.973490099603134","399","201","23","21110","ACACB,ACSS1,ADH4,ADH5,ADH7,ADIPOQ,CYP2A13,CYP2B6,CYP2C18,CYP2E1,MECR,MLXIPL,PANK2,PM20D1,PRKAB2,PTGR1,PTGR2,RGN,UGT1A1,UGT1A10,UGT1A4,UGT1A7,UGT1A8"
"GO:BP","flavonoid metabolic process","GO:0009812","false","2.0090417858495008e-8","7.69701103031241","13","201","7","21110","SULT1A1,UGT1A1,UGT1A10,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","flavonoid glucuronidation","GO:0052696","false","1.4320948390117352e-7","6.844028220369212","5","201","5","21110","UGT1A1,UGT1A3,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","flavone metabolic process","GO:0051552","false","8.52607043458061e-7","6.0692510839310465","6","201","5","21110","UGT1A1,UGT1A10,UGT1A7,UGT1A8,UGT1A9"
"GO:BP","cellular aldehyde metabolic process","GO:0006081","false","0.000002272602280776316","5.643476561801414","70","201","10","21110","ADH4,ADH5,AKR1A1,ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,ALDH3A1,ALDH3B1,ESD"
"GO:BP","aldehyde catabolic process","GO:0046185","true","0.000006197016493313186","5.207817347977258","15","201","6","21110","ADH4,ADH5,AKR1A1,ALDH2,ALDH3B1,ESD"
