GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,GENE_NAME
378708,1,10420102,10452815,151,22,621310,1.8819,0.029927999999999996,APITD1
100526739,1,10420102,10462003,176,26,618773,1.8196,0.034411000000000004,APITD1-CORT
1325,1,10439719,10462003,69,19,621296,0.8678,0.19275,CORT
1676,1,10450531,10482556,104,28,607278,1.2021,0.11465999999999998,DFFA
5195,1,10464946,10640758,627,61,625899,0.74452,0.22828,PEX14
54897,1,10626604,10806676,763,135,618865,0.23423000000000002,0.4074,CASZ1
148345,1,10936473,10992037,284,37,620686,0.079333,0.46838,C1orf127
23435,1,11002622,11035492,124,19,608498,1.4994,0.06688200000000001,TARDBP
10747,1,11016523,11057239,153,26,600085,1.8292,0.033683,MASP2
6723,1,11044592,11070034,108,16,601679,2.1943,0.014106,SRM
5394,1,11056613,11109910,222,17,614607,2.373,0.008822,EXOSC10
2475,1,11096531,11272557,581,23,615421,2.2851,0.011154,MTOR
10218,1,11179289,11205981,79,13,609805,2.0526,0.020054,ANGPTL7
29914,1,11263198,11306595,126,19,607673,0.68767,0.24583000000000002,UBIAD1
57540,1,11469238,11547583,296,27,630085,2.3328,0.0098296,PTCHD2
26232,1,11638361,11664831,107,40,626920,0.28374,0.3883,FBXO2
93611,1,11644375,11673327,131,39,619487,-0.30891,0.6213,FBXO44
26270,1,11654093,11684354,134,28,624946,-0.69797,0.7574,FBXO6
10459,1,11664480,11701788,171,38,623197,0.44472,0.32826,MAD2L2
374946,1,11676647,11730612,249,59,614777,1.2049,0.11412,DRAXIN
57085,1,11725474,11760771,144,31,617399,0.89064,0.18656,AGTRAP
284498,1,11752183,11799585,275,24,632703,1.1011,0.13543,C1orf167
4524,1,11775730,11816103,261,18,641630,0.7901699999999999,0.21470999999999998,MTHFR
1185,1,11796096,11853144,355,25,634159,1.115,0.13242,CLCN6
4878,1,11835709,11857783,133,24,634695,0.7492300000000001,0.22685999999999998,NPPA
4879,1,11847464,11868935,118,28,628860,0.41641000000000006,0.33855999999999997,NPPB
90231,1,11909588,11936428,157,31,615184,1.2452,0.10653,KIAA2013
5351,1,11924667,11985542,253,28,623107,1.6428,0.050210000000000005,PLOD1
9927,1,11970181,12023515,215,31,621815,1.6206,0.052554,MFN2
60672,1,12009242,12042049,106,25,628432,1.2338,0.10862999999999999,MIIP
943,1,12053330,12154207,409,81,618581,-0.14734,0.55857,TNFRSF8
7133,1,12156949,12219222,281,41,618585,0.9319799999999999,0.17567,TNFRSF1B
55187,1,12220039,12522047,915,42,620583,0.28178000000000003,0.38906,VPS13D
9249,1,12557910,12628361,311,62,624998,0.51673,0.30267,DHRS3
343066,1,12634547,12677086,197,30,611053,0.3692,0.35599000000000003,AADACL4
126767,1,12706115,12738759,78,30,611370,-0.06829099999999999,0.52722,AADACL3
93190,1,12736186,12771169,96,22,618195,-1.0539,0.85403,C1orf158
390999,1,12753223,12787906,91,28,598980,-1.2590000000000001,0.89599,PRAMEF12
65121,1,12781397,12806628,167,35,538182,-0.34855,0.6362899999999999,PRAMEF1
440560,1,12814380,12841410,171,34,521269,-0.29101,0.61448,PRAMEF11
343069,1,12837377,12858756,210,15,565434,-0.055427,0.5221,HNRNPCL1
65122,1,12847086,12871909,191,18,552921,0.06793099999999999,0.47292,PRAMEF2
400735,1,12869212,12896201,95,22,446834,0.29372,0.38449,PRAMEF4
343071,1,12882896,12908270,50,18,446244,0.37077,0.3554,PRAMEF10
441871,1,12906647,12930480,7,3,407338,-1.3202,0.90661,PRAMEF7
440561,1,12928472,12957580,10,4,432592,0.09399199999999999,0.46256,PRAMEF6
440563,1,13105488,13126854,110,15,546611,1.0809,0.13985999999999998,HNRNPCL2
343068,1,13244198,13273435,14,5,452328,0.59386,0.2763,PRAMEF5
391002,1,13271304,13295137,5,2,446758,1.5036,0.06633700000000001,PRAMEF8
645382,1,13293516,13319027,1,1,405668,1.0677,0.14282999999999998,LOC645382
653619,1,13305581,13332595,2,1,405668,1.7308,0.041741,PRAMEF15
645414,1,13358431,13381947,13,7,438075,1.4273,0.07674,PRAMEF19
391004,1,13379632,13402629,26,11,428465,2.3743,0.0087907,PRAMEF17
645425,1,13400450,13431354,15,5,436506,1.2966,0.097384,PRAMEF20
126755,1,13464977,13523781,346,70,618262,1.8715,0.030636,LRRC38
10630,1,13573757,13627957,287,58,623456,0.34845,0.36375,PDPN
7799,1,13690240,13835079,617,56,633412,-0.36549,0.64263,PRDM2
23254,1,13883515,15128048,6614,445,631665,2.9139,0.0017846,KAZN
55092,1,15142532,15230478,568,40,643333,0.10500999999999999,0.45818000000000003,TMEM51
727684,1,15154196,15181624,144,24,639955,0.046225999999999996,0.48157,C1orf195
114827,1,15226602,15410283,988,116,628040,1.2516,0.10536,FHAD1
79180,1,15399895,15440343,186,53,615892,1.1544,0.12418,EFHD2
11330,1,15428442,15459247,129,35,622434,0.44743,0.32728,CTRC
63036,1,15446728,15482091,169,38,623143,3.1071,0.00094453,CELA2A
51032,1,15466101,15501400,166,28,622544,4.2652,9.9863e-06,CELA2B
842,1,15481401,15536529,262,19,629021,3.5016,0.00023127,CASP9
23341,1,15516813,15581733,252,19,622914,4.1807,1.4529000000000001e-05,DNAJC16
79814,1,15561699,15595110,199,19,628831,4.926,4.1958999999999996e-07,AGMAT
84301,1,15607458,15671057,215,18,618929,5.5125,1.7691e-08,DDI2
6248,1,15649869,15671722,63,10,625701,5.6159,9.7744e-09,RSC1A1
23207,1,15674267,15744769,299,32,623320,6.6035,2.0081000000000002e-11,PLEKHM2
284723,1,15725088,15751392,94,24,615409,3.8224,6.6077e-05,SLC25A34
388595,1,15732492,15757797,105,24,606430,3.4077,0.00032751,TMEM82
54751,1,15746171,15796589,230,42,597869,3.4414,0.0002894,FBLIM1
440567,1,15797162,15817699,128,16,631576,1.9771,0.024013999999999997,UQCRHL
23013,1,15837864,15950455,368,44,611389,1.9028,0.028535,SPEN
7709,1,15931869,15986132,175,41,610683,1.9767,0.024036000000000002,ZBTB17
101928566,1,15966131,16007206,242,35,623949,2.3877,0.0084781,TBC1D3P6
149563,1,15994236,16016695,171,24,636699,2.142,0.016097999999999998,C1orf64
27129,1,16004028,16028796,173,24,632838,1.3535,0.08794600000000001,HSPB7
1187,1,16011991,16044050,277,28,608684,1.7983,0.036068,CLCNKA
1188,1,16033736,16067326,343,33,592435,2.5024,0.0061678,CLCNKB
348487,1,16047769,16083632,273,29,599212,2.5969,0.004703100000000001,FAM131C
1969,1,16114337,16166087,157,39,628320,1.615,0.05315399999999999,EPHA2
128272,1,16187856,16222671,173,19,621022,1.1665,0.1217,ARHGEF19
101927546,1,16205907,16237036,125,23,633844,1.8159,0.034695,ANO7P1
79363,1,16221687,16247452,80,15,639987,2.3804,0.0086479,RSG1
54455,1,16236840,16362491,407,25,627595,3.0501,0.0011439,FBXO42
26099,1,16357030,16408148,192,30,622026,2.2448,0.012391,SZRD1
374955,1,16377117,16447842,278,46,623010,2.0943,0.018115,SPATA21
55707,1,16430672,16470090,173,37,627167,-0.056041999999999995,0.52235,NECAP2
102724970,1,16525773,16546956,100,30,484112,0.46855,0.3197,LOC102724970
100133301,1,16528724,16550035,85,29,463141,0.27326999999999996,0.39232,FAM231B
55672,1,16552427,16623605,57,30,421159,0.9621,0.168,NBPF1
729574,1,16663003,16683512,40,14,550072,0.43937,0.3302,FAM231A
102723383,1,16723807,16744539,10,6,433801,-0.6110399999999999,0.72941,LOC102723383
11223,1,16744634,16774480,21,10,408791,0.243,0.40399999999999997,MST1L
9696,1,16885707,16982979,486,53,559872,-0.11292999999999999,0.54496,CROCC
4237,1,16964500,16991643,116,29,624331,1.089,0.13809000000000002,MFAP2
23400,1,16975958,17021972,162,31,623944,1.4601,0.07213,ATP13A2
6390,1,17008722,17064170,244,31,635150,1.6678,0.04768,SDHB
11240,1,17056761,17129453,434,37,635771,0.11392000000000001,0.45465,PADI2
29943,1,17195123,17256006,389,87,632016,1.6241,0.052182000000000006,PADI1
51702,1,17239082,17294233,314,38,641973,1.1911,0.1168,PADI3
23569,1,17298195,17374004,517,40,636087,-1.3533,0.91202,PADI4
353238,1,17362196,17411699,337,29,627606,-1.3768,0.9157200000000001,PADI6
55920,1,17396755,17449754,235,38,617276,-1.7465,0.9596399999999999,RCC2
55160,1,17510197,17707875,783,89,622941,1.6354,0.050983999999999995,ARHGEF10L
81569,1,17702000,17837063,544,62,629083,0.071414,0.47153,ACTL8
84966,1,18097746,18388484,1526,197,629580,2.4902,0.0063834,IGSF21
127707,1,18470930,18495999,158,28,634569,2.5851,0.004868,KLHDC7A
5081,1,18621006,18758866,620,111,622870,1.0409,0.14897,PAX7
80834,1,18829599,18869661,305,43,638286,-0.2376,0.5939,TAS1R2
8659,1,18861430,18912799,362,49,631752,-1.1975,0.88444,ALDH4A1
126917,1,18894280,18966667,403,58,631136,-0.26482,0.60443,IFFO2
23352,1,19064506,19220319,473,39,627612,-0.21564,0.58536,UBR4
23065,1,19205664,19261559,249,34,639129,0.25254,0.40031,EMC1
51154,1,19241581,19270128,168,24,641527,0.12872,0.44878999999999997,MRTO4
22977,1,19264325,19299346,200,16,621597,0.8462,0.19872,AKR7A3
8574,1,19292708,19322146,126,31,640208,0.08454400000000001,0.46631000000000006,AKR7A2
54896,1,19302246,19342431,215,35,634976,-0.6601600000000001,0.74542,PQLC2
832,1,19328773,19495641,845,45,632793,-0.23479,0.5928100000000001,CAPZB
440574,1,19586977,19639821,187,34,627431,-0.6786399999999999,0.75132,MINOS1
100532736,1,19586977,19668456,331,52,622235,-0.50067,0.6917,MINOS1-NBL1
4681,1,19633229,19668456,186,46,613545,-0.077315,0.53081,NBL1
3362,1,19655287,19690966,161,25,634387,0.33282,0.36964,HTR6
255104,1,19672213,19810353,656,80,630853,-1.2152,0.88785,TMCO4
54546,1,19804029,19825278,141,37,642577,-0.16902999999999999,0.56711,RNF186
23252,1,19871702,19922945,200,39,632237,-0.6112,0.72947,OTUD3
30814,1,19910307,19933617,115,28,627244,1.3731,0.084868,PLA2G2E
5320,1,19965431,19990439,133,34,636748,-0.14724,0.55853,PLA2G2A
5322,1,20018339,20101901,343,35,639119,-0.5402600000000001,0.70549,PLA2G5
26279,1,20102650,20129566,126,42,622375,0.9223299999999999,0.17818,PLA2G2D
64600,1,20129326,20160386,109,45,627727,1.1411,0.12691,PLA2G2F
105376824,1,20153076,20173980,76,19,622452,1.4687,0.070951,LOC105376824
391013,1,20153991,20185194,116,32,621960,1.2972,0.09728099999999999,PLA2G2C
127733,1,20173302,20206048,124,31,624119,0.09176000000000001,0.46343999999999996,UBXN10
127731,1,20280907,20370221,426,45,635624,-0.49243000000000003,0.68879,VWA5B1
55450,1,20472391,20496235,79,23,608656,-1.0887,0.86185,CAMK2N1
79594,1,20489448,20518181,118,28,620171,-0.54711,0.70785,MUL1
163933,1,20542439,20565020,119,27,635429,1.444,0.07437200000000001,FAM43B
978,1,20578951,20628908,302,28,629842,-0.23183,0.5916600000000001,CDA
65018,1,20623455,20661511,182,23,625512,0.22985999999999998,0.4091,PINK1
1650,1,20641767,20671544,144,24,618527,0.22658000000000003,0.41036999999999996,DDOST
57576,1,20651643,20728017,379,76,628018,0.60877,0.27134,KIF17
400745,1,20709731,20742640,151,35,630824,-0.24614,0.59721,SH2D5
50809,1,20732677,20797310,200,31,621959,0.15050999999999998,0.44018,HP1BP3
8672,1,20796292,21187320,1205,43,618381,-0.072977,0.52909,EIF4G3
1889,1,21207247,21355541,663,76,620367,-0.76586,0.77812,ECE1
84224,1,21425318,21494900,398,35,597989,1.5933,0.055548,NBPF3
249,1,21498982,21588412,510,54,630127,1.7133,0.04333,ALPL
5909,1,21586215,21679375,462,73,639077,0.98129,0.16322,RAP1GAP
84196,1,21668298,21793199,577,52,630184,1.247,0.10619,USP48
401944,1,21802265,21835221,170,53,623349,0.07837899999999999,0.46876,LDLRAD2
3339,1,21812232,21947297,656,62,623500,1.5235,0.063822,HSPG2
23436,1,21966925,22008642,470,34,565104,1.5848,0.056504,CELA3B
10136,1,21991656,22022542,250,32,566215,1.6156,0.053087,CELA3A
998,1,22042627,22102943,232,39,618590,1.6740000000000002,0.04707,CDC42
54361,1,22107305,22153981,214,43,634224,1.6453,0.049951999999999996,WNT4
9923,1,22418838,22541157,358,42,622034,-0.057241,0.52282,ZBTB40
2046,1,22553508,22613594,294,41,622971,0.22285,0.41183000000000003,EPHA8
712,1,22626625,22649682,97,14,643614,-0.79104,0.78554,C1QA
714,1,22633625,22658110,124,16,644656,-0.7679,0.77873,C1QC
713,1,22643179,22671552,124,19,638516,-0.16305999999999998,0.56476,C1QB
2048,1,22700770,22925330,865,124,611670,0.8934700000000001,0.1858,EPHB2
646262,1,22943043,22982316,148,26,630957,0.598,0.27492,LACTBL1
729059,1,23000834,23025850,57,14,618767,0.86434,0.1937,C1orf234
23028,1,23009443,23093691,176,26,619372,0.51759,0.30236999999999997,KDM1A
7798,1,23074023,23187808,337,32,627416,0.94899,0.17131,LUZP1
3352,1,23181895,23204729,118,14,631239,0.078618,0.46867,HTR1D
10236,1,23294688,23354650,134,37,599789,-0.18465,0.57325,HNRNPR
80818,1,23349448,23379864,97,18,629053,-0.33524,0.6312800000000001,ZNF436
6920,1,23370909,23434779,242,45,624057,-0.10743,0.54278,TCEA3
55616,1,23418563,23494567,284,27,628276,0.57358,0.28313,ASAP3
1870,1,23495974,23541250,144,28,606923,1.3674,0.085758,E2F2
3399,1,23547930,23569794,78,26,617415,1.2406,0.10737999999999999,ID3
6135,1,23681779,23706425,79,20,599620,-1.4923,0.93219,RPL11
6924,1,23733366,23772059,85,39,592878,-1.0027,0.84201,TCEB3
57095,1,23768386,23798232,54,32,600962,-0.57518,0.71742,PITHD1
11313,1,23780785,23805539,46,29,590033,0.46986999999999995,0.31922,LYPLA2
2582,1,23785599,23810804,42,16,599580,0.13313,0.44703999999999994,GALE
3155,1,23791877,23835459,86,17,601818,-0.28636999999999996,0.6127,HMGCL
2517,1,23835077,23878369,189,15,606739,0.39658000000000004,0.34584000000000004,FUCA1
1269,1,23863463,23923327,403,27,588387,-0.09906000000000001,0.53945,CNR2
55629,1,23949811,23973462,16,6,504754,-2.3569,0.99079,PNRC2
10772,1,23954347,23990463,27,8,486408,-2.1577,0.9845200000000001,SRSF10
127294,1,24046041,24122175,384,46,627910,-0.79288,0.78608,MYOM3
58985,1,24109771,24153285,221,46,623138,-1.1552,0.8759999999999999,IL22RA1
163702,1,24144157,24197275,306,41,613943,-1.2913,0.9017,IFNLR1
57822,1,24309322,24374482,257,56,626677,0.9361,0.17461,GRHL3
90529,1,24346999,24425497,304,31,632483,-0.3432,0.6342800000000001,STPG1
57185,1,24403674,24482983,325,37,630934,-0.40226,0.65625,NIPAL3
11123,1,24492351,24547020,212,32,634370,-0.31583,0.62393,RCAN3
400746,1,24546076,24619328,399,48,635059,0.54819,0.29178000000000004,NCMAP
10250,1,24633012,24683281,100,31,598420,-0.6067,0.7279800000000001,SRRM1
25932,1,24735269,24854324,282,39,601878,-1.1947,0.8839,CLIC4
864,1,24889511,24975157,360,61,620767,0.9908899999999999,0.16087,RUNX3
25949,1,25212276,25242522,64,35,570277,0.5837100000000001,0.27971,SYF2
57035,1,25232249,25277915,79,41,573173,-0.28953,0.6139100000000001,RSRP1
6007,1,25262393,25340445,25,11,512371,-1.7601,0.9608,RHD
23585,1,25328298,25372361,95,21,564176,-1.4639,0.9283899999999999,TMEM50A
6006,1,25350659,25440192,285,26,558550,-0.45932,0.677,RHCE
55219,1,25420858,25510209,255,20,596015,-1.0784,0.8595700000000001,TMEM57
26119,1,25533580,25601287,251,51,610788,-0.18373,0.57289,LDLRAP1
57134,1,25607468,25796207,611,62,618799,3.0363,0.0011974,MAN1C1
57190,1,25790176,25828222,134,17,630486,3.3093,0.00046766,SEPN1
56181,1,25809906,25842942,108,11,639203,3.2119999999999997,0.00065902,MTFR1L
79000,1,25821913,25869458,135,10,625164,3.0644,0.0010906,AUNIP
164091,1,25851484,25886707,87,17,603183,2.1737,0.014863999999999999,PAQR7
3925,1,25874186,25916877,98,17,613777,1.7552,0.039613999999999996,STMN1
5051,1,25949764,26008581,205,22,616934,2.1171,0.017125,PAFAH2
2134,1,26011741,26046464,112,25,605503,1.5807,0.05697000000000001,EXTL1
7780,1,26028022,26056138,108,21,609326,1.5549,0.05998099999999999,SLC30A2
105376910,1,26035895,26059057,93,17,615650,2.0083,0.022305000000000002,LOC105376910
84676,1,26041304,26077634,156,24,614651,2.9727,0.0014761,TRIM63
149420,1,26101165,26135548,113,7,628853,2.8242,0.0023696,PDIK1L
79927,1,26149008,26172628,89,19,645997,2.6113,0.004509399999999999,FAM110D
105376887,1,26155313,26179802,103,18,639100,2.3407,0.009624500000000001,LOC105376887
51042,1,26159897,26180873,86,15,638655,2.4605,0.0069375,ZNF593
10256,1,26167490,26199884,135,22,635394,2.0283,0.021265,CNKSR1
378807,1,26180587,26212542,130,28,635545,1.8293,0.033674,CATSPER4
64793,1,26224153,26289038,269,20,633436,2.0555,0.019918,CEP85
83442,1,26269722,26291522,105,18,631004,2.0236,0.021506,SH3BGRL3
91544,1,26272282,26328265,249,26,631750,1.7101,0.043622,UBXN11
1043,1,26307920,26330523,109,18,626395,1.6138,0.053288,CD52
55057,1,26311859,26364130,245,37,632766,1.311,0.094933,AIM1L
257101,1,26351632,26384533,182,30,629171,1.3098,0.095136,ZNF683
79727,1,26400778,26439728,136,31,623634,-0.029529000000000003,0.51178,LIN28A
