GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000142609	1	1843396	1945276	419	38	361193	-0.93644	0.82548	C1orf222
ENSG00000187730	1	1940780	1972192	90	24	361193	1.0207	0.1537	GABRD
ENSG00000067606	1	1971909	2126834	680	65	361194	-0.56357	0.71348	PRKCZ
ENSG00000162585	1	2105903	2154159	178	46	361194	-0.21328	0.58445	C1orf86
ENSG00000269554	1	2111237	2133179	62	20	361194	0.243	0.404	AL590822.2
ENSG00000203301	1	2133360	2155620	97	32	361194	-0.28015	0.61032	AL590822.1
ENSG00000157933	1	2150134	2251558	420	94	361193	0.46668	0.32036	SKI
ENSG00000116151	1	2242692	2333146	488	77	361194	1.6566	0.0488	MORN1
ENSG00000269753	1	2248581	2269042	135	42	361194	1.5863	0.056337	AL589739.1
ENSG00000157916	1	2313267	2346883	136	44	361194	0.55615	0.28906	RER1
ENSG00000157911	1	2326236	2355236	140	42	361194	0.47355	0.31791	PEX10
ENSG00000149527	1	2347419	2446969	533	87	361194	0.77791	0.21831	PLCH2
ENSG00000157881	1	2429972	2468039	183	36	361194	0.82953	0.2034	PANK4
ENSG00000197921	1	2450184	2471684	101	33	361194	0.16984	0.43257	HES5
ENSG00000157873	1	2477078	2506821	119	31	361194	-1.3028	0.90368	TNFRSF14
ENSG00000157870	1	2507930	2532908	127	22	361194	-0.60887	0.7287	FAM213B
ENSG00000142606	1	2512078	2574481	289	25	361194	-0.34516	0.63501	MMEL1
ENSG00000215912	1	2557415	2728286	557	29	361194	-0.78864	0.78484	TTC34
ENSG00000169717	1	2928046	2949465	106	18	361194	-1.094	0.86303	ACTRT2
ENSG00000142611	1	2975732	3365185	2007	224	361194	1.5133	0.065106	PRDM16
ENSG00000130762	1	3360990	3407677	178	27	361193	0.71439	0.23749	ARHGEF16
ENSG00000162591	1	3396484	3538059	658	100	361193	-2.0589	0.98025	MEGF6
ENSG00000158109	1	3531566	3556691	96	19	361194	-1.5151	0.93513	TPRG1L
ENSG00000116213	1	3537331	3579325	149	30	361194	-1.2327	0.89116	WRAP73
ENSG00000078900	1	3559084	3662765	415	76	361193	-1.8726	0.96944	TP73
ENSG00000162592	1	3658962	3698209	203	35	361194	0.031941	0.48726	CCDC27
ENSG00000235169	1	3679352	3702546	146	20	361193	-1.3202	0.90661	SMIM1
ENSG00000130764	1	3686784	3723068	222	28	361194	-0.837	0.7987	LRRC47
ENSG00000116198	1	3718645	3783778	351	25	361194	-0.49172	0.68854	CEP104
ENSG00000169598	1	3763845	3811993	297	35	361194	0.69206	0.24445	DFFB
ENSG00000198912	1	3795689	3826857	160	23	361194	0.85148	0.19725	C1orf174
ENSG00000196581	1	4704792	4862594	975	125	361194	-0.043079	0.51718	AJAP1
ENSG00000131697	1	5912871	6062533	668	47	361194	0.31659	0.37578	NPHP4
ENSG00000069424	1	6041526	6171253	538	75	361193	-1.0392	0.85064	KCNAB2
ENSG00000268332	1	6090630	6111399	100	30	361194	-1.7133	0.95667	AL035406.1
ENSG00000116254	1	6151853	6250183	466	55	361194	0.87916	0.18966	CHD5
ENSG00000116251	1	6231329	6279449	187	28	361194	0.22964	0.40919	RPL22
ENSG00000158286	1	6255535	6291359	140	25	361194	0.76711	0.22151	RNF207
ENSG00000116237	1	6271253	6306032	127	21	361194	0.8368	0.20135	ICMT
ENSG00000173673	1	6294252	6315638	52	17	361194	-0.25006	0.59873	HES3
ENSG00000158292	1	6297406	6331035	84	17	361194	1.1011	0.13544	GPR153
ENSG00000097021	1	6314329	6464451	750	38	361194	0.94123	0.17329	ACOT7
ENSG00000069812	1	6462478	6494730	166	18	361194	1.2361	0.10821	HES2
ENSG00000187017	1	6474848	6531430	247	29	361194	1.5589	0.059508	ESPN
ENSG00000215788	1	6511211	6536255	98	24	361194	1.7136	0.043304	TNFRSF25
ENSG00000171680	1	6516152	6590121	284	47	361194	1.4908	0.068002	PLEKHG5
ENSG00000162408	1	6571407	6624595	179	25	361194	1.6693	0.047534	NOL9
ENSG00000173662	1	6605241	6649817	141	35	361194	1.8087	0.035252	TAS1R1
ENSG00000204859	1	6630061	6659340	111	45	361194	3.3233	0.00044485	ZBTB48
ENSG00000162413	1	6640784	6684667	146	35	361194	4.1669	1.5435e-05	KLHL21
ENSG00000116273	1	6663745	6694093	88	22	361194	4.2814	9.2864e-06	PHF13
ENSG00000041988	1	6674926	6705646	106	26	361194	4.2856	9.1138e-06	THAP3
ENSG00000007923	1	6684228	6771984	285	36	361194	3.8823	5.174e-05	DNAJC11
ENSG00000171735	1	6835384	7839766	3527	285	361194	-0.1985	0.57867	CAMTA1
ENSG00000049245	1	7821329	7851492	115	28	361194	-1.401	0.91939	VAMP3
ENSG00000049246	1	7834380	7915237	367	38	361194	-2.0688	0.98072	PER3
ENSG00000049247	1	7893143	7923572	166	36	361194	-2.0723	0.98088	UTS2
ENSG00000049249	1	7969907	8010926	129	22	361194	1.2498	0.10568	TNFRSF9
ENSG00000116288	1	8004351	8055565	132	27	361194	-0.6035	0.72691	PARK7
ENSG00000116285	1	8054464	8096368	93	18	361194	-0.82857	0.79633	ERRFI1
ENSG00000162426	1	8367886	8414227	148	39	361194	4.5062	3.2993e-06	SLC45A1
ENSG00000142599	1	8402457	8887702	1028	79	361194	5.2494	7.629e-08	RERE
ENSG00000074800	1	8911061	8949308	84	29	361194	1.2483	0.10597	ENO1
ENSG00000131686	1	8995926	9045151	251	64	361193	1.376	0.084406	CA6
ENSG00000197241	1	9053359	9096404	201	43	361194	-0.098445	0.53921	SLC2A7
ENSG00000142583	1	9085166	9158537	410	38	361194	0.9634	0.16767	SLC2A5
ENSG00000180758	1	9150364	9199229	192	39	361194	0.5959	0.27562	GPR157
ENSG00000049239	1	9284834	9341396	296	40	361194	1.6058	0.054157	H6PD
ENSG00000171621	1	9342939	9439591	531	101	361194	1.6708	0.047378	SPSB1
ENSG00000171612	1	9589541	9655237	164	30	361194	1.2145	0.11229	SLC25A33
ENSG00000188807	1	9638932	9684935	77	46	361194	0.42556	0.33521	TMEM201
ENSG00000171608	1	9701790	9799172	384	59	361194	1.9451	0.025881	PIK3CD
ENSG00000179840	1	9702668	9724644	115	20	361194	2.6043	0.0046028	C1orf200
ENSG00000171603	1	9779084	9894584	348	43	361194	0.53696	0.29565	CLSTN1
ENSG00000178585	1	9898334	9980394	259	38	361194	0.80042	0.21173	CTNNBIP1
ENSG00000162441	1	9972173	10013465	122	31	361194	-1.5532	0.93982	LZIC
ENSG00000173614	1	9993486	10055559	179	45	361194	-0.70521	0.75966	NMNAT1
ENSG00000162444	1	10047264	10086078	127	22	361194	-2.3157	0.98971	RBP7
ENSG00000130939	1	10082890	10251297	663	39	361194	0.077412	0.46915	UBE4B
ENSG00000054523	1	10260863	10451661	910	27	361194	2.2163	0.013336	KIF1B
ENSG00000142657	1	10448649	10490201	179	28	361193	2.1852	0.014436	PGD
ENSG00000175279	1	10480159	10522210	176	25	361193	0.48958	0.31221	APITD1
ENSG00000251503	1	10480159	10522210	176	25	361193	0.48958	0.31221	APITD1-CORT
ENSG00000241563	1	10499776	10521959	50	23	361194	0.31878	0.37495	CORT
ENSG00000160049	1	10506579	10542583	92	29	361194	1.7948	0.036346	DFFA
ENSG00000142655	1	10522345	10700815	522	75	361194	2.7644	0.0028517	PEX14
ENSG00000130940	1	10686661	10866707	622	106	361194	0.55636	0.28898	CASZ1
ENSG00000175262	1	10996528	11052094	252	24	361194	-1.2448	0.89339	C1orf127
ENSG00000120948	1	11062414	11095796	59	20	361194	1.5222	0.063976	TARDBP
ENSG00000009724	1	11076580	11117290	92	21	361194	1.0717	0.14193	MASP2
ENSG00000116649	1	11104641	11130081	56	11	361194	0.92225	0.1782	SRM
ENSG00000171824	1	11116675	11169938	155	9	361194	0.8747	0.19087	EXOSC10
ENSG00000198793	1	11156592	11332564	450	18	361194	1.428	0.076651	MTOR
ENSG00000171819	1	11239398	11266038	63	7	361194	1.046	0.14778	ANGPTL7
ENSG00000120942	1	11323263	11366106	121	14	361194	2.1994	0.013924	UBIAD1
ENSG00000204624	1	11529223	11607641	271	28	361194	-0.38281	0.64907	PTCHD2
ENSG00000116661	1	11698424	11725842	93	31	361193	-0.87685	0.80972	FBXO2
ENSG00000132879	1	11704432	11733384	118	30	361193	-0.31755	0.62459	FBXO44
ENSG00000116663	1	11714181	11744411	133	26	361193	0.01481	0.49409	FBXO6
ENSG00000116670	1	11724537	11761707	151	32	361193	0.41676	0.33843	MAD2L2
ENSG00000162490	1	11741786	11795914	193	48	361193	-0.51066	0.69521	DRAXIN
ENSG00000177674	1	11786141	11824859	121	24	361192	0.14865	0.44091	AGTRAP
ENSG00000215910	1	11811844	11859642	180	22	361193	-1.0551	0.85431	C1orf167
ENSG00000177000	1	11835780	11876977	224	16	361194	-0.96485	0.83269	MTHFR
ENSG00000011021	1	11856207	11913201	353	22	361194	-1.3413	0.9101	CLCN6
ENSG00000175206	1	11895766	11918402	137	22	361194	-0.97783	0.83592	NPPA
ENSG00000120937	1	11907521	11928988	129	27	361194	-0.76759	0.77863	NPPB
ENSG00000116685	1	11969648	11996485	126	24	361194	-0.39019	0.6518	KIAA2013
ENSG00000083444	1	11984262	12045595	231	28	361194	-0.27496	0.60833	PLOD1
ENSG00000116688	1	12030238	12083571	151	22	361194	-0.91002	0.81859	MFN2
ENSG00000116691	1	12069523	12102102	76	20	361194	-0.14794	0.5588	MIIP
ENSG00000120949	1	12113434	12214264	303	52	361193	-0.30698	0.62057	TNFRSF8
ENSG00000028137	1	12217060	12279285	258	29	361194	1.1283	0.1296	TNFRSF1B
ENSG00000048707	1	12280124	12582099	964	39	361194	-0.24016	0.5949	VPS13D
ENSG00000162496	1	12617939	12687737	277	48	361194	-0.38928	0.65147	DHRS3
ENSG00000204518	1	12694566	12737097	166	18	361194	-0.85683	0.80423	AADACL4
ENSG00000188984	1	12766118	12798726	60	15	361194	-2.2276	0.98705	AADACL3
ENSG00000157330	1	12796163	12833847	78	12	361194	-1.0173	0.84548	C1orf158
ENSG00000116726	1	12824984	12848049	35	8	361194	-1.3147	0.90569	PRAMEF12
ENSG00000116721	1	12841546	12866777	90	17	361191	-3.4701	0.99974	PRAMEF1
ENSG00000204513	1	12874468	12901264	28	4	361192	-0.64739	0.74131	PRAMEF11
ENSG00000179172	1	12897261	12918578	93	2	361194	-0.71146	0.7616	HNRNPCL1
ENSG00000120952	1	12906941	12931764	103	5	361194	-0.38777	0.65091	PRAMEF2
ENSG00000243073	1	12929045	12956025	7	1	361188	1.2111	0.11292	PRAMEF4
ENSG00000187545	1	12942727	12968101	1	1	361194	-0.79567	0.78689	PRAMEF10
ENSG00000232423	1	12988181	13127751	6	3	361194	-1.5304	0.93704	PRAMEF6
ENSG00000204491	1	13464689	13487522	4	1	361194	-0.5489	0.70846	PRAMEF18
ENSG00000204488	1	13485254	13508260	1	1	361194	2.4775	0.0066157	PRAMEF16
ENSG00000204480	1	13684889	13708405	1	1	361167	-0.86232	0.80575	PRAMEF19
ENSG00000162494	1	13791445	13850543	285	49	361193	0.21265	0.4158	LRRC38
ENSG00000162493	1	13899960	13954452	268	50	361193	0.145	0.44235	PDPN
ENSG00000116731	1	14016693	14161574	572	44	361194	0.40777	0.34172	PRDM2
ENSG00000189337	1	14915200	15454539	2440	251	361194	0.13913	0.44468	KAZN
ENSG00000171729	1	15469028	15556976	446	36	361194	-0.54673	0.70772	TMEM51
ENSG00000204464	1	15480840	15507813	113	19	361194	-0.52614	0.7006	C1orf195
ENSG00000142621	1	15563768	15736779	686	94	361194	1.1991	0.11525	FHAD1
ENSG00000142634	1	15726391	15766839	172	44	361193	-0.35145	0.63737	EFHD2
ENSG00000162438	1	15754935	15785737	121	28	361194	0.90288	0.1833	CTRC
ENSG00000142615	1	15773223	15808586	148	34	361194	1.9883	0.023389	CELA2A
ENSG00000215704	1	15782404	15827895	224	35	361194	2.4282	0.007586	CELA2B
ENSG00000132906	1	15807327	15863029	228	27	361194	2.2139	0.013417	CASP9
ENSG00000116138	1	15843308	15928874	387	25	361194	2.4215	0.0077282	DNAJC16
ENSG00000116771	1	15888848	15921605	178	22	361194	2.3038	0.010616	AGMAT
ENSG00000197312	1	15933995	16005539	267	13	361194	1.8414	0.032784	DDI2
ENSG00000215695	1	15976364	15998217	78	10	361194	2.05	0.020181	RSC1A1
ENSG00000116786	1	16000827	16071264	319	28	361194	2.7645	0.0028502	PLEKHM2
ENSG00000162461	1	16052900	16077891	100	24	361194	1.6453	0.04995	SLC25A34
ENSG00000162460	1	16058917	16084477	117	25	361194	2.1991	0.013936	TMEM82
ENSG00000162458	1	16073102	16123089	211	45	361194	4.152	1.6476e-05	FBLIM1
ENSG00000065526	1	16164359	16276955	365	40	361194	4.2637	1.0051e-05	SPEN
ENSG00000116809	1	16258364	16312627	166	42	361194	4.1944	1.3683e-05	ZBTB17
ENSG00000183888	1	16320731	16345302	163	24	361194	1.1152	0.13239	C1orf64
ENSG00000173641	1	16330523	16356089	147	31	361194	0.93847	0.174	HSPB7
ENSG00000186510	1	16335370	16370545	243	38	361194	0.38394	0.35051	CLCNKA
ENSG00000184908	1	16360272	16393803	286	32	361193	0.85262	0.19694	CLCNKB
ENSG00000185519	1	16374264	16410127	233	32	361194	1.2741	0.10132	FAM131C
ENSG00000142627	1	16440832	16492582	143	47	361194	2.2056	0.013706	EPHA2
ENSG00000142632	1	16514349	16549104	144	19	361194	2.765	0.0028457	ARHGEF19
ENSG00000204377	1	16545368	16566038	66	12	361194	2.4624	0.0069004	C1orf134
ENSG00000132881	1	16548195	16573657	79	15	361194	2.4479	0.007185	RSG1
ENSG00000037637	1	16563334	16688949	422	27	361194	2.3065	0.010542	FBXO42
ENSG00000055070	1	16669070	16734640	261	22	361194	1.8776	0.030215	SZRD1
ENSG00000187144	1	16703612	16773919	280	39	361194	1.7356	0.041315	SPATA21
ENSG00000157191	1	16757167	16796573	157	40	361194	-0.029156	0.51163	NECAP2
ENSG00000268674	1	16855561	16876070	40	9	361193	1.0142	0.15525	FAM231B
ENSG00000219481	1	16878814	16950057	2	1	361194	-0.40301	0.65653	NBPF1
ENSG00000058453	1	17056768	17309474	191	37	361194	0.51664	0.3027	CROCC
ENSG00000117122	1	17290997	17317330	89	30	361194	2.1239	0.016837	MFAP2
ENSG00000159363	1	17302453	17348423	118	30	361194	2.4989	0.0062289	ATP13A2
ENSG00000117118	1	17335217	17390665	151	32	361194	1.4561	0.072685	SDHB
ENSG00000117115	1	17383256	17455948	214	54	361194	1.4531	0.073095	PADI2
ENSG00000142623	1	17521621	17582500	345	76	361193	1.4959	0.067334	PADI1
ENSG00000142619	1	17565593	17620728	330	42	361194	1.5031	0.066402	PADI3
ENSG00000159339	1	17624690	17700499	379	54	361194	-0.19889	0.57882	PADI4
ENSG00000269468	1	17645507	17686070	180	36	361194	-0.34864	0.63632	AC004824.2
ENSG00000179051	1	17723256	17776220	227	43	361194	1.8523	0.031989	RCC2
ENSG00000074964	1	17856330	18034369	617	86	361194	1.2268	0.10995	ARHGEF10L
ENSG00000117148	1	18071808	18163558	382	45	361193	-0.3086	0.62119	ACTL8
ENSG00000117154	1	18424240	18714977	1236	171	361194	-0.37983	0.64796	IGSF21
ENSG00000179023	1	18797424	18822478	124	31	361194	1.1567	0.12371	KLHDC7A
ENSG00000009709	1	18947500	19085360	555	103	361194	-0.50896	0.69461	PAX7
ENSG00000179002	1	19156093	19196176	302	44	361194	0.02114	0.49157	TAS1R2
ENSG00000255275	1	19165767	19257615	625	73	361194	-0.90428	0.81708	RP13-279N23.2
ENSG00000159423	1	19187926	19239275	356	45	361194	-1.5211	0.93588	ALDH4A1
ENSG00000169991	1	19220775	19293180	380	61	361194	-0.99681	0.84057	IFFO2
ENSG00000127481	1	19391000	19546770	448	47	361194	-0.12875	0.55122	UBR4
ENSG00000127463	1	19532158	19588046	257	28	361194	0.21367	0.4154	EMC1
ENSG00000053372	1	19568033	19596622	165	23	361194	0.32315	0.37329	MRTO4
ENSG00000162482	1	19599052	19625744	131	11	361194	0.50661	0.30621	AKR7A3
ENSG00000053371	1	19620459	19648640	127	29	361194	2.8365	0.0022809	AKR7A2
ENSG00000040487	1	19628820	19665794	220	35	361194	2.8495	0.0021897	PQLC2
ENSG00000077549	1	19655267	19822066	828	43	361194	4.7263	1.1433e-06	CAPZB
ENSG00000270136	1	19913473	19994549	324	48	361194	1.5492	0.060671	MINOS1-NBL1
ENSG00000173436	1	19913477	19966314	191	30	361194	1.4656	0.071372	MINOS1
ENSG00000158747	1	19957048	19994945	187	46	361193	1.4855	0.068706	NBL1
ENSG00000158748	1	19981780	20016055	123	24	361193	-0.32109	0.62593	HTR6
ENSG00000162542	1	19998706	20136438	504	60	361194	-0.99454	0.84002	TMCO4
ENSG00000178828	1	20130523	20151771	119	27	361193	-0.56962	0.71553	RNF186
ENSG00000169914	1	20199006	20249438	200	35	361194	-0.8984	0.81551	OTUD3
ENSG00000188784	1	20236502	20260110	111	30	361194	-1.0368	0.8501	PLA2G2E
ENSG00000188257	1	20291925	20316932	127	32	361194	-1.116	0.86779	PLA2G2A
ENSG00000127472	1	20344672	20427683	343	36	361194	0.72345	0.2347	PLA2G5
ENSG00000117215	1	20428432	20456050	110	35	361194	1.1081	0.13392	PLA2G2D
ENSG00000158786	1	20455819	20486879	108	41	361193	0.87117	0.19183	PLA2G2F
ENSG00000187980	1	20477746	20513917	129	33	361194	-0.6542	0.74351	PLA2G2C
ENSG00000162543	1	20502578	20532541	102	23	361194	-0.094713	0.53773	UBXN10
ENSG00000158816	1	20607412	20691387	416	44	361194	-1.9434	0.97402	VWA5B1
ENSG00000162545	1	20798884	20822713	74	21	361194	0.34272	0.36591	CAMK2N1
ENSG00000090432	1	20815943	20844654	123	27	361194	0.15639	0.43786	MUL1
ENSG00000183114	1	20868932	20891512	121	27	361193	0.54178	0.29399	FAM43B
ENSG00000158825	1	20905441	20955401	242	31	361194	0.97694	0.1643	CDA
ENSG00000158828	1	20949948	20988004	170	21	361194	1.0078	0.15678	PINK1
ENSG00000244038	1	20968270	20998000	128	20	361194	0.82742	0.204	DDOST
ENSG00000117245	1	20980507	21054510	321	66	361194	0.35752	0.36035	KIF17
ENSG00000189410	1	21036225	21069330	136	35	361194	-0.50872	0.69453	SH2D5
ENSG00000127483	1	21059154	21123816	216	30	361194	-1.2666	0.89735	HP1BP3
ENSG00000075151	1	21122963	21513377	1203	48	361194	-0.584	0.72039	EIF4G3
ENSG00000117298	1	21533740	21681997	607	65	361194	0.78582	0.21599	ECE1
ENSG00000142794	1	21756621	21821498	246	37	361194	0.75452	0.22527	NBPF3
ENSG00000162551	1	21825858	21914905	500	53	361194	3.9991	3.1789e-05	ALPL
ENSG00000076864	1	21912708	22005801	447	83	361194	5.9654	1.2199e-09	RAP1GAP
ENSG00000090686	1	21994791	22120099	539	54	361194	1.9472	0.025757	USP48
ENSG00000187942	1	22128758	22161714	167	52	361194	3.4399	0.00029092	LDLRAD2
ENSG00000142798	1	22138738	22273790	598	68	361194	4.1081	1.9942e-05	HSPG2
ENSG00000219073	1	22293514	22335135	262	28	361193	4.152	1.6478e-05	CELA3B
ENSG00000142789	1	22318149	22349032	107	27	361193	2.7956	0.0025901	CELA3A
ENSG00000070831	1	22369120	22429437	217	46	361194	4.8666	5.6777e-07	CDC42
ENSG00000162552	1	22433798	22480462	189	47	361194	5.9978	1e-09	WNT4
ENSG00000184677	1	22768344	22867650	291	33	361194	2.179	0.014667	ZBTB40
ENSG00000070886	1	22880057	22940087	328	42	361194	0.37251	0.35476	EPHA8
ENSG00000173372	1	22952999	22976101	110	14	361194	0.41826	0.33788	C1QA
ENSG00000159189	1	22960123	22984603	137	17	361194	0.12836	0.44893	C1QC
ENSG00000173369	1	22969255	22998031	140	20	361194	-0.14644	0.55821	C1QB
ENSG00000133216	1	23027332	23251818	608	110	361193	-0.10561	0.54205	EPHB2
ENSG00000215906	1	23269536	23301831	100	26	361194	0.41996	0.33726	LACTBL1
ENSG00000227868	1	23327327	23352343	41	24	361194	-0.83049	0.79687	C1orf234
ENSG00000004487	1	23335941	23420182	119	47	361194	-0.69002	0.75491	KDM1A
ENSG00000169641	1	23400516	23514301	335	38	361194	0.32054	0.37428	LUZP1
ENSG00000179546	1	23506993	23531222	132	13	361194	-0.25885	0.60213	HTR1D
ENSG00000125944	1	23620264	23680829	142	36	361194	1.1553	0.12399	HNRNPR
ENSG00000125945	1	23675941	23705935	94	19	361194	2.2204	0.013195	ZNF436
ENSG00000249087	1	23685490	23708332	57	14	361193	2.2208	0.013183	C1orf213
ENSG00000204219	1	23697554	23761233	165	37	361194	0.78556	0.21606	TCEA3
ENSG00000088280	1	23745056	23821061	241	30	361194	0.43243	0.33271	ASAP3
ENSG00000007968	1	23822922	23867712	122	29	361193	1.6158	0.053065	E2F2
ENSG00000117318	1	23874409	23896285	69	26	361194	1.7742	0.038018	ID3
ENSG00000197880	1	23897985	23977058	213	65	361194	-0.72477	0.7657	MDS2
ENSG00000142676	1	24008269	24032915	64	14	361193	0.88449	0.18821	RPL11
ENSG00000011007	1	24059645	24098549	70	34	361194	0.33651	0.36824	TCEB3
ENSG00000057757	1	24094895	24124722	42	31	361194	-0.29288	0.61519	PITHD1
ENSG00000011009	1	24107460	24132029	33	24	361194	-0.3894	0.65151	LYPLA2
ENSG00000117308	1	24112089	24137271	26	21	361194	0.18476	0.42671	GALE
ENSG00000117305	1	24118375	24175110	100	19	361194	-0.10157	0.54045	HMGCL
ENSG00000179163	1	24161567	24204784	123	18	361194	-0.84244	0.80023	FUCA1
ENSG00000188822	1	24187016	24295549	124	34	361193	0.0063979	0.49745	CNR2
ENSG00000189266	1	24275599	24299952	9	4	361191	-1.0569	0.85473	PNRC2
ENSG00000188529	1	24281294	24317417	15	4	361190	-1.1693	0.87885	SRSF10
ENSG00000142661	1	24372525	24448665	329	39	361194	1.6535	0.049118	MYOM3
ENSG00000142677	1	24436261	24479611	165	40	361194	1.2422	0.10708	IL22RA1
ENSG00000185436	1	24470647	24524449	199	37	361193	1.2119	0.11277	IFNLR1
ENSG00000158055	1	24635812	24700972	241	56	361194	3.4715	0.00025882	GRHL3
ENSG00000001460	1	24673489	24753424	309	30	361194	3.3492	0.00040518	STPG1
ENSG00000001461	1	24732284	24809466	304	40	361194	3.2764	0.0005257	NIPAL3
ENSG00000117602	1	24819387	24877530	261	29	361194	2.2221	0.01314	RCAN3
ENSG00000184454	1	24872602	24945819	388	45	361194	2.5351	0.0056202	NCMAP
ENSG00000133226	1	24948207	25009758	140	37	361193	1.8279	0.03378	SRRM1
ENSG00000169504	1	25061848	25180815	237	68	361194	3.2626	0.00055194	CLIC4
ENSG00000020633	1	25216002	25301612	305	56	361194	-1.5221	0.93601	RUNX3
ENSG00000117614	1	25539170	25568993	53	30	361194	1.1938	0.11627	SYF2
ENSG00000117616	1	25558728	25674704	194	46	361192	2.3212	0.010138	C1orf63
ENSG00000187010	1	25588884	25666936	106	27	361191	2.312	0.010388	RHD
ENSG00000183726	1	25654408	25698852	95	15	361193	1.4172	0.078212	TMEM50A
ENSG00000188672	1	25678740	25766683	160	23	361194	0.80855	0.20939	RHCE
ENSG00000204178	1	25747388	25836700	194	24	361194	2.9482	0.0015979	TMEM57
