Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
waist circ custom,waist_circ_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394166,,2.9625619142669e-10,3.83695128980316,,,continuous-waist_circ_custom-both_sexes--custom
Basal metabolic rate,23105,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387962,,3.42800392047044e-10,2.77571275438972,,,continuous-23105-both_sexes--irnt
Body mass index (BMI),23104,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387970,,7.66745666866881e-10,4.18622096494483,,,continuous-23104-both_sexes--irnt
Body mass index (BMI),21001,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393562,,1.8016342932407e-9,4.09243594237956,,,continuous-21001-both_sexes--irnt
BMI custom,BMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393562,,1.80239161053156e-9,4.09243161185153,,,continuous-BMI_custom-both_sexes--custom
alcohol intake custom,alcohol_intake_custom,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,393099,,5.00925606751245e-9,3.84229549160444,,,continuous-alcohol_intake_custom-both_sexes--custom
weightadjheight custom,weightadjheight_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393562,,5.63992361466325e-9,3.98215002124422,,,continuous-weightadjheight_custom-both_sexes--custom
Arm fat mass (right),23120,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387864,,1.02997207111094e-8,3.84035250269967,,,continuous-23120-both_sexes--irnt
Arm fat mass (left),23124,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387798,,1.32953321336868e-8,3.809478905662,,,continuous-23124-both_sexes--irnt
Hip circumference,49,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394124,,1.4528179002708e-8,3.88058255197308,,,continuous-49-both_sexes--irnt
hip circ custom,hip_circ_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394124,,1.83130075962228e-8,3.85318666890125,,,continuous-hip_circ_custom-both_sexes--custom
Whole body fat mass,23100,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387351,,3.65331653374895e-8,3.65865679550396,,,continuous-23100-both_sexes--irnt
BFPadjBMI custom,BFPadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387669,,5.64659818919375e-8,-2.27664831121639,,,continuous-BFPadjBMI_custom-both_sexes--custom
waist circ female custom,waist_circ_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213243,,6.41233202476931e-8,3.6998477962072,,,continuous-waist_circ_female_custom-females--custom
WBfatfreemass custom,WBfatfreemass_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,9.83111371991393e-8,2.24546437425206,,,continuous-WBfatfreemass_custom-both_sexes--custom
Whole body fat-free mass,23101,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,9.90704629820138e-8,2.24487833280921,,,continuous-23101-both_sexes--irnt
Whole body water mass,23102,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387974,,1.01791203716421e-7,2.24802452177479,,,continuous-23102-both_sexes--irnt
BMI female custom,BMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212969,,1.35792933789949e-7,3.67003424574649,,,continuous-BMI_female_custom-females--custom
weightadjheight female custom,weightadjheight_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212969,,1.78563896543544e-7,3.64647879697156,,,continuous-weightadjheight_female_custom-females--custom
body fat percent custom,body_fat_percent_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,2.49440025540073e-7,2.66688573507523,,,continuous-body_fat_percent_custom-both_sexes--custom
hip circ female custom,hip_circ_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213227,,2.49586922780291e-7,3.59745586342845,,,continuous-hip_circ_female_custom-females--custom
Body fat percentage,23099,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,2.51872341798932e-7,2.66585512988579,,,continuous-23099-both_sexes--irnt
weight female custom,weight_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213032,,2.59118052330485e-7,3.58136030848458,,,continuous-weight_female_custom-females--custom
appendicularFFMI female custom,appendicularFFMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210019,,6.35087385427127e-7,3.48267790192592,,,continuous-appendicularFFMI_female_custom-females--custom
WHRadjBMI custom,WHRadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393454,,6.59292233120936e-7,-2.49539070258205,,,continuous-WHRadjBMI_custom-both_sexes--custom
fat free mass index female custom,fat_free_mass_index_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,209946,,0.00000109667536531466,3.40503336728071,,,continuous-fat_free_mass_index_female_custom-females--custom
Arm predicted mass (left),23126,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387773,,0.0000017213074257635,2.04170603465946,,,continuous-23126-both_sexes--irnt
WBfatfreemass female custom,WBfatfreemass_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210155,,0.00000181994191891331,3.24381706253367,,,continuous-WBfatfreemass_female_custom-females--custom
Arm fat-free mass (left),23125,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387788,,0.00000255725946896049,2.01560183461384,,,continuous-23125-both_sexes--irnt
BFPadjBMI female custom,BFPadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210117,,0.00000270751901318232,-3.21752225754136,,,continuous-BFPadjBMI_female_custom-females--custom
Falls in the last year,2296,continuous,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,,393948,,0.0000076609738168391,1.78855077270351,,,continuous-2296-both_sexes--
body fat percent female custom,body_fat_percent_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210152,,0.0000164078890548012,2.97682945825287,,,continuous-body_fat_percent_female_custom-females--custom
WCadjBMI custom,WCadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393484,,0.0000568309063109218,-2.0647438480128,,,continuous-WCadjBMI_custom-both_sexes--custom
Trunk fat-free mass,23129,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387653,,0.000172244242661154,1.58246219935509,,,continuous-23129-both_sexes--irnt
E11 Non-insulin-dependent diabetes mellitus,130708,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,24153,370688,0.00020794473671048,6.40399589284837,,,icd_first_occurrence-130708-both_sexes--
Trunk predicted mass,23130,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387613,,0.000221529844311784,1.5506042490029,,,continuous-23130-both_sexes--irnt
Arm fat-free mass (right),23121,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387859,,0.000224315220842727,1.54238808343859,,,continuous-23121-both_sexes--irnt
Arm predicted mass (right),23122,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387852,,0.000250705853214423,1.52513068107365,,,continuous-23122-both_sexes--irnt
G47 Sleep disorders,131060,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,13044,381797,0.000279734860901269,6.76063405713881,,,icd_first_occurrence-131060-both_sexes--
Glycated haemoglobin (HbA1c),30750,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376931,,0.000323998417569977,2.31744523307361,,,continuous-30750-both_sexes--irnt
Naprosyn 250mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,258,394525,0.000618912488548517,11.7327374243771,,,categorical-20003-both_sexes-1140871472-
WHRadjBMI female custom,WHRadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212912,,0.000698865664888171,-2.34258602868872,,,continuous-WHRadjBMI_female_custom-females--custom
Sleep apnoea,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1287,393496,0.000743404740425568,11.3943979141525,,,categorical-20002-both_sexes-1123-
E85.2 Non-invasive ventilation NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1140,393701,0.000817812170703791,11.2187156928448,,,categorical-41200-both_sexes-E852-
Y75.2 Laparoscopic approach to abdominal cavity NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,14496,380345,0.000843223099392595,5.81041770213927,,,categorical-41210-both_sexes-Y752-
A84.7 Sleep studies NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,851,393990,0.00090754610072958,11.0272983311663,,,categorical-41200-both_sexes-A847-
H51 Other disorders of binocular movement,131206,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,171,394670,0.000909222087151514,11.023908517541,,,icd_first_occurrence-131206-both_sexes--
AFFMIadjBMI female custom,AFFMIadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210019,,0.00104467673644522,2.22458398911582,,,continuous-AFFMIadjBMI_female_custom-females--custom
"Systolic blood pressure, automated reading",4080,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,372551,,0.00123918777674994,2.07370730240487,,,continuous-4080-both_sexes--irnt
High light scatter reticulocyte count,30300,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.00146751177619858,2.16642608321966,,,continuous-30300-both_sexes--irnt
Levothyroxine sodium,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,16162,378621,0.00162755234340079,4.89564664070028,,,categorical-20003-both_sexes-1141191044-
Lactulose product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1030,393753,0.00181047030662489,9.76777920108119,,,categorical-20003-both_sexes-1140865800-
K64 Haemorrhoids and perianal venous thrombosis,131650,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,26662,368179,0.00215211645661077,4.96104646856324,,,icd_first_occurrence-131650-both_sexes--
Hypothyroidism/myxoedema,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,19312,375471,0.00230720890677829,4.50558308575881,,,categorical-20002-both_sexes-1226-
E66 Obesity,130792,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,26713,368128,0.00239646770380633,4.73966935895048,,,icd_first_occurrence-130792-both_sexes--
Depressive symptoms custom,Depressive_symptoms_custom,continuous,,,,372325,,0.00268679026227537,2.26366224037031,,,continuous-Depressive_symptoms_custom-both_sexes--custom
High light scatter reticulocyte percentage,30290,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377155,,0.00276140868285864,2.05474159058379,,,continuous-30290-both_sexes--irnt
FH Lung cancer custom,FH_Lung_cancer_custom,categorical,,,,51814,309101,0.00332302621534668,4.51007221959498,,,categorical-FH_Lung_cancer_custom-both_sexes--custom
G24 Dystonia,131030,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,862,393979,0.00337279401563787,8.65232707460553,,,icd_first_occurrence-131030-both_sexes--
Thyroid custom,Thyroid_custom,categorical,,Health-related outcomes > Autoimmune/Inflammatory,,20373,354529,0.00344112743599036,4.1575203037037,,,categorical-Thyroid_custom-both_sexes--custom
I10 Essential (primary) hypertension,131286,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,98167,296674,0.00348933657872168,4.03281693204591,,,icd_first_occurrence-131286-both_sexes--
F42 Obsessive-compulsive disorder,130908,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,660,394181,0.00354928478722323,8.56189389030582,,,icd_first_occurrence-130908-both_sexes--
Perindopril,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,5626,389157,0.00360806118474705,8.53280898458944,,,categorical-20003-both_sexes-1140888560-
systolic blood pressure custom,systolic_blood_pressure_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,389886,,0.00382550649126195,1.900919150144,,,continuous-systolic_blood_pressure_custom-both_sexes--custom
Hypertension,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,102580,292203,0.00399416176381353,3.96004266820797,,,categorical-20002-both_sexes-1065-
Trunk fat mass,23128,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387722,,0.0043245613635646,1.95450832980537,,,continuous-23128-both_sexes--irnt
Reticulocyte count,30250,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.00434532001852002,1.93592705061254,,,continuous-30250-both_sexes--irnt
RA custom,RA_custom,categorical,,Health-related outcomes > Autoimmune/Inflammatory,,6101,354529,0.00524811237973767,7.59191588068965,,,categorical-RA_custom-both_sexes--custom
E03 Other hypothyroidism,130696,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,27036,367805,0.00530195924799437,3.81216122041959,,,icd_first_occurrence-130696-both_sexes--
M95 Other acquired deformities of musculoskeletal system and connective tissue,131992,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,1751,393090,0.00533382352669496,7.84633136954644,,,icd_first_occurrence-131992-both_sexes--
Vascular/heart problems diagnosed by doctor,6150,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,106486,287509,0.00554046236655061,3.64329742765563,,,categorical-6150-both_sexes-4-
E06 Thyroiditis,130702,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,944,393897,0.00564787318090172,7.74685933437415,,,icd_first_occurrence-130702-both_sexes--
IGF-1,30770,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,374755,,0.00577389988386055,-2.57037822085804,,,continuous-30770-both_sexes--irnt
Met minutes walking,Met_minutes_walking,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores,,320034,,0.00580121084831211,-1.93910630331465,,,continuous-Met_minutes_walking-both_sexes--custom
M15 Polyarthrosis,131868,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,8330,386511,0.00624514874543575,7.57171382286907,,,icd_first_occurrence-131868-both_sexes--
Amlodipine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,16022,378761,0.00674416715774346,7.28914865016118,,,categorical-20003-both_sexes-1140879802-
B86 Scabies,130320,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,1891,392950,0.00677799485877186,7.43152774821515,,,icd_first_occurrence-130320-both_sexes--
FFMIadjBMI custom,FFMIadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387569,,0.00748917450893302,-1.10018308291999,,,continuous-FFMIadjBMI_custom-both_sexes--custom
F40 Phobic anxiety disorders,130904,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,2439,392402,0.00751125190287518,7.25532225916798,,,icd_first_occurrence-130904-both_sexes--
WBFFMadjBMI custom,WBFFMadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387859,,0.00756294901002475,-1.05175520798434,,,continuous-WBFFMadjBMI_custom-both_sexes--custom
"Seen a psychiatrist for nerves, anxiety, tension or depression",2100,categorical,,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,,44916,348150,0.00773071853593618,3.870675979547,,,categorical-2100-both_sexes--
NAFLD custom,NAFLD_custom,categorical,,Health-related outcomes > Hepatobiliary,,4282,385089,0.00835456788637446,7.07404988229988,,,categorical-NAFLD_custom-both_sexes--custom
B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,130336,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,4750,390091,0.00840989415495108,7.06283508899431,,,icd_first_occurrence-130336-both_sexes--
Tonsillectomy +/- adenoids,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,61417,333366,0.00846323121092961,3.7200125987602,,,categorical-20004-both_sexes-1478-
K08 Other disorders of teeth and supporting structures,131568,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,3195,391646,0.00879228921636409,6.98739777057433,,,icd_first_occurrence-131568-both_sexes--
Forced vital capacity (FVC),3062,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,360076,,0.00890623258518985,-1.27845575408332,,,continuous-3062-both_sexes--irnt
Reticulocyte percentage,30240,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.00899330936447316,1.79668233657963,,,continuous-30240-both_sexes--irnt
Tramadol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4384,390399,0.00942899783970515,6.86925054457755,,,categorical-20003-both_sexes-1140864992-
Metformin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,9811,384972,0.00956846174825221,6.60095964628778,,,categorical-20003-both_sexes-1140884600-
B06 Rubella [german measles],130186,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,2738,392103,0.00972209271283153,6.81768482059308,,,icd_first_occurrence-130186-both_sexes--
F33 Recurrent depressive disorder,130896,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,2893,391948,0.00979810687932195,6.80458267796774,,,icd_first_occurrence-130896-both_sexes--
J06 Acute upper respiratory infections of multiple and unspecified sites,131436,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,40431,354410,0.00995274067885914,3.8637461363107,,,icd_first_occurrence-131436-both_sexes--
A08 Viral and other specified intestinal infections,130016,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,3876,390965,0.0104461826534882,6.69709733393031,,,icd_first_occurrence-130016-both_sexes--
"Diastolic blood pressure, automated reading",4079,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,372555,,0.0105884575531607,1.73771367775515,,,continuous-4079-both_sexes--irnt
B36 Other superficial mycoses,130228,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,4399,390442,0.0108353325592903,6.63593077536592,,,icd_first_occurrence-130228-both_sexes--
F32 Depressive episode,130894,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,41680,353161,0.0109467240410786,3.67784791466647,,,icd_first_occurrence-130894-both_sexes--
K66 Other disorders of peritoneum,131654,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4101,390740,0.011485238278394,6.5388503356762,,,icd_first_occurrence-131654-both_sexes--
Diabetes,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,15514,379269,0.0116981564076955,6.15770593893604,,,categorical-20002-both_sexes-1220-
sleep duration 1160,sleep_duration_1160,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,,389668,,0.0122228938231643,1.72517282498193,,,continuous-sleep_duration_1160-both_sexes--custom
C-reactive protein,30710,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376005,,0.0125221592412343,2.41155877383258,,,continuous-30710-both_sexes--irnt
Simvastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,45015,349768,0.0129444668831283,5.97040112534927,,,categorical-20003-both_sexes-1140861958-
H02 Other disorders of eyelid,131132,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,9092,385749,0.0137502360001356,6.24157755029176,,,icd_first_occurrence-131132-both_sexes--
E14 Unspecified diabetes mellitus,130714,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,17397,377444,0.013937413414809,5.82449672907291,,,icd_first_occurrence-130714-both_sexes--
Co-codamol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,9257,385526,0.0144816586044467,6.09873461355711,,,categorical-20003-both_sexes-1140923346-
Squint correction,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,5272,389511,0.0145542994079878,6.14860967503411,,,categorical-20004-both_sexes-1491-
M06 Other rheumatoid arthritis,131850,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,7852,386989,0.0150571845951323,6.00120790393842,,,icd_first_occurrence-131850-both_sexes--
B05 Measles,130184,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,7084,387757,0.0150585508717114,6.09258667479523,,,icd_first_occurrence-130184-both_sexes--
all cause liver custom,all_cause_liver_custom,categorical,,Health-related outcomes > Hepatobiliary,,11072,383769,0.0153250312958981,6.0645938853538,,,categorical-all_cause_liver_custom-both_sexes--custom
FH Severe depression custom,FH_Severe_depression_custom,categorical,,,,53369,307546,0.0158178478669046,3.5369538902251,,,categorical-FH_Severe_depression_custom-both_sexes--custom
High cholesterol,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,48438,346345,0.0160029931050219,5.40400680280835,,,categorical-20002-both_sexes-1473-
Past tobacco smoking,1249,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,363286,,0.0163968713883753,-2.08538534705177,,,continuous-1249-both_sexes--
"J40 Bronchitis, not specified as acute or chronic",131484,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,7509,387332,0.0164444690296874,5.95041890120846,,,icd_first_occurrence-131484-both_sexes--
diastolic blood pressure custom,diastolic_blood_pressure_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,389975,,0.0166632555735877,1.63463052786167,,,continuous-diastolic_blood_pressure_custom-both_sexes--custom
White blood cell (leukocyte) count,30000,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383465,,0.0167611255781322,1.62930115535817,,,continuous-30000-both_sexes--irnt
Fluoxetine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4608,390175,0.0173631427050165,5.86288721312592,,,categorical-20003-both_sexes-1140879540-
T2D custom,T2D_custom,categorical,,Health-related outcomes > Cardiac/Metabolism,,20813,371952,0.0177142188214253,5.42901385126828,,,categorical-T2D_custom-both_sexes--custom
WCadjBMI female custom,WCadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212925,,0.0178291556301358,-1.65015995992884,,,continuous-WCadjBMI_female_custom-females--custom
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones",6153,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,26921,185712,0.0180696830272399,5.40583614033008,,,categorical-6153-both_sexes-1-
Anxiety/panic attacks,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,5473,389310,0.0183102265760295,5.77780725748311,,,categorical-20002-both_sexes-1287-
Mean corpuscular haemoglobin,30050,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383466,,0.0185497284604439,-1.52919625393322,,,continuous-30050-both_sexes--irnt
J98 Other respiratory disorders,131548,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,11927,382914,0.0187064985078752,5.74363472494234,,,icd_first_occurrence-131548-both_sexes--
E28 Ovarian dysfunction,130736,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,1678,211935,0.0194269772181869,5.68349096415439,,,icd_first_occurrence-130736-both_sexes--
I80 Phlebitis and thrombophlebitis,131396,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,13406,381435,0.0201874812143527,5.51462445763676,,,icd_first_occurrence-131396-both_sexes--
HCadjBMI custom,HCadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393490,,0.02024003525923,1.57313113720514,,,continuous-HCadjBMI_custom-both_sexes--custom
Immature reticulocyte fraction,30280,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.0213972255920034,1.58418659330407,,,continuous-30280-both_sexes--irnt
