Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Vascular/heart problems diagnosed by doctor,6150,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,106486,287509,2.70708945301393e-12,0.109299650847926,,,categorical-6150-both_sexes-4-
Leg fat mass (right),23112,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387940,,5.27282795076069e-12,0.0407137605400193,,,continuous-23112-both_sexes--irnt
Leg fat mass (left),23116,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387922,,1.39315212790208e-11,0.0394170053939066,,,continuous-23116-both_sexes--irnt
Mean corpuscular haemoglobin,30050,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383466,,1.64709480248952e-11,0.0475351719183773,,,continuous-30050-both_sexes--irnt
systolic blood pressure adjBMI custom,systolic_blood_pressure_adjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,388715,,2.14709705269971e-11,0.047441617722069,,,continuous-systolic_blood_pressure_adjBMI_custom-both_sexes--custom
Frequency of feeling guilt or remorse after drinking alcohol in last year,20409,continuous,,Online follow-up > Mental health > Alcohol use,,70786,,2.17122445538271e-11,0.0870787423391204,,,continuous-20409-both_sexes--
Mean corpuscular volume,30040,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383467,,4.10533688157137e-11,0.0467764750108444,,,continuous-30040-both_sexes--irnt
Whole body fat mass,23100,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387351,,5.23750051650238e-11,0.0471829253407336,,,continuous-23100-both_sexes--irnt
Hypertension,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,102580,292203,5.60894940154747e-11,0.10616626644815,,,categorical-20002-both_sexes-1065-
Ever addicted to alcohol,20406,categorical,,Online follow-up > Mental health > Addictions,,2938,4031,5.9247040330338e-11,0.796631255193008,,,categorical-20406-both_sexes--
Cholesterol,30690,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376808,,8.73463515398316e-11,0.0473417293178394,,,continuous-30690-both_sexes--irnt
Gamma glutamyltransferase,30730,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376608,,1.2897250364003e-10,0.0447553618866032,,,continuous-30730-both_sexes--irnt
Mean platelet (thrombocyte) volume,30100,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383461,,1.29548741482757e-10,-0.0564529415528189,,,continuous-30100-both_sexes--irnt
Body fat percentage,23099,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,1.82140846005067e-10,0.035642555482143,,,continuous-23099-both_sexes--irnt
body fat percent custom,body_fat_percent_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,1.91084253660811e-10,0.0356026811523485,,,continuous-body_fat_percent_custom-both_sexes--custom
Leg fat percentage (right),23111,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,3.07171215728424e-10,0.0289657371529095,,,continuous-23111-both_sexes--irnt
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,368383,25906,3.12798782796672e-10,0.188085236536061,,,categorical-20117-both_sexes-2-
Leg fat percentage (left),23115,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387925,,3.64061664017997e-10,0.0284643834818891,,,continuous-23115-both_sexes--irnt
Apolipoprotein B,30640,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,374968,,4.56910572805466e-10,0.0462889420637934,,,continuous-30640-both_sexes--irnt
Sodium in urine,30530,continuous,,Biological samples > Assay results > Urine assays,,382952,,4.97000995772533e-10,-0.0452074570190108,,,continuous-30530-both_sexes--irnt
Trunk fat mass,23128,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387722,,5.52551559818072e-10,0.0459488682842536,,,continuous-23128-both_sexes--irnt
Arm fat mass (left),23124,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387798,,5.81134981629274e-10,0.0449074833312969,,,continuous-23124-both_sexes--irnt
Vitamin D,30890,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,360290,,8.70278415119636e-10,-0.0468231224566501,,,continuous-30890-both_sexes--irnt
Body mass index (BMI),23104,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387970,,1.08609296151356e-9,0.0448462531673427,,,continuous-23104-both_sexes--irnt
Arm fat mass (right),23120,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387864,,1.27230860215206e-9,0.0440214788683343,,,continuous-23120-both_sexes--irnt
Substances taken for depression,20546,categorical,,Online follow-up > Mental health > Depression,,9299,118677,1.34988503926198e-9,0.29925391517125,,,categorical-20546-both_sexes-4-
Frequency of inability to cease drinking in last year,20413,continuous,,Online follow-up > Mental health > Alcohol use,,70741,,2.58971722387561e-9,0.0720456842684248,,,continuous-20413-both_sexes--
waist circ custom,waist_circ_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394166,,3.03437560553184e-9,0.0387167396349564,,,continuous-waist_circ_custom-both_sexes--custom
weightadjheight custom,weightadjheight_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393562,,3.30216942024959e-9,0.0433803920672498,,,continuous-weightadjheight_custom-both_sexes--custom
Trunk fat percentage,23127,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387739,,3.36367482130245e-9,0.0397273388095069,,,continuous-23127-both_sexes--irnt
Waist circumference,48,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394166,,3.44989553314586e-9,0.0385790942011577,,,continuous-48-both_sexes--irnt
BMI custom,BMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393562,,3.45822778544103e-9,0.0431358477055808,,,continuous-BMI_custom-both_sexes--custom
Body mass index (BMI),21001,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393562,,3.46036711703302e-9,0.0431346620210025,,,continuous-21001-both_sexes--irnt
body fat percent male custom,body_fat_percent_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,177599,,4.24540968788717e-9,0.0708927725850968,,,continuous-body_fat_percent_male_custom-males--custom
Arm fat percentage (left),23123,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387830,,7.0272968925234e-9,0.0322814638475482,,,continuous-23123-both_sexes--irnt
K70 Alcoholic liver disease,131658,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1284,393557,8.86894156365683e-9,0.725701606920523,,,icd_first_occurrence-131658-both_sexes--
"Medication for cholesterol, blood pressure or diabetes",6177,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,41662,137885,1.19836005161645e-8,0.147328758034752,,,categorical-6177-both_sexes-1-
Weight,23098,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387978,,1.23669132593585e-8,0.0369245468488716,,,continuous-23098-both_sexes--irnt
Total bilirubin,30840,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,375237,,2.22162737134437e-8,0.0482280838431759,,,continuous-30840-both_sexes--irnt
Arm fat percentage (right),23119,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387894,,2.36193262118357e-8,0.0312368439385338,,,continuous-23119-both_sexes--irnt
weight custom,weight_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393709,,2.72384508636477e-8,0.0357781879467671,,,continuous-weight_custom-both_sexes--custom
Weight,21002,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,393709,,2.77744908413966e-8,0.0357561619012457,,,continuous-21002-both_sexes--irnt
Calcium,30680,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344966,,1.09231915617583e-7,0.041586495041897,,,continuous-30680-both_sexes--irnt
ratio TG HDL custom,ratio_TG_HDL_custom,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,343470,,1.5301648164669e-7,-0.0407856282523227,,,continuous-ratio_TG_HDL_custom-both_sexes--custom
Glucose,30740,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344692,,1.86875526558698e-7,0.0410580131581956,,,continuous-30740-both_sexes--irnt
BMI male custom,BMI_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,180591,,2.45571742278034e-7,0.0630645748482735,,,continuous-BMI_male_custom-males--custom
weightadjheight male custom,weightadjheight_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,180591,,3.66948637070805e-7,0.062265148024595,,,continuous-weightadjheight_male_custom-males--custom
Red blood cell (erythrocyte) count,30010,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383469,,4.15595551538079e-7,-0.0316512507801179,,,continuous-30010-both_sexes--irnt
WHR custom,WHR_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394086,,4.56266781103297e-7,0.0283304023381731,,,continuous-WHR_custom-both_sexes--custom
waist circ male custom,waist_circ_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,180921,,9.26360919209239e-7,0.0591123093527896,,,continuous-waist_circ_male_custom-males--custom
Phosphate,30810,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344440,,9.36386065005726e-7,0.0376632061694676,,,continuous-30810-both_sexes--irnt
I10 Essential (primary) hypertension,131286,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,98167,296674,9.8576943479056e-7,0.0816278675507576,,,icd_first_occurrence-131286-both_sexes--
"Medication for cholesterol, blood pressure or diabetes",6177,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,44767,134780,9.9829637439056e-7,0.121453607814271,,,categorical-6177-both_sexes-2-
Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,20407,continuous,,Online follow-up > Mental health > Alcohol use,,70837,,0.00000187871778952715,0.0311670968960553,,,continuous-20407-both_sexes--
appendicularFFMI custom,appendicularFFMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387704,,0.00000392586698095224,0.0249543113698393,,,continuous-appendicularFFMI_custom-both_sexes--custom
Fat,100004,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.00000447752632752626,-0.0860423889504656,,,continuous-100004-both_sexes--irnt
Peak expiratory flow (PEF),3064,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,360076,,0.00000564055876518154,-0.0285044907205796,,,continuous-3064-both_sexes--irnt
Creatinine,30700,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376624,,0.00000673453302012761,-0.027119568453143,,,continuous-30700-both_sexes--irnt
weight male custom,weight_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,180675,,0.00000713255334864841,0.055402261393354,,,continuous-weight_male_custom-males--custom
all cause liver custom,all_cause_liver_custom,categorical,,Health-related outcomes > Hepatobiliary,,11072,383769,0.00000737095844816226,0.203625331943332,,,categorical-all_cause_liver_custom-both_sexes--custom
C-reactive protein,30710,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376005,,0.00000821922319313864,0.0334590351954905,,,continuous-30710-both_sexes--irnt
Hip circumference,49,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394124,,0.00000865122796022068,0.0326607224397407,,,continuous-49-both_sexes--irnt
hip circ custom,hip_circ_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394124,,0.00000894939060210582,0.0326061334595452,,,continuous-hip_circ_custom-both_sexes--custom
hip circ male custom,hip_circ_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,180895,,0.0000111452631044532,0.05307229668329,,,continuous-hip_circ_male_custom-males--custom
E78 Disorders of lipoprotein metabolism and other lipidaemias,130814,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,81328,313513,0.0000116376228476335,0.0777339003645479,,,icd_first_occurrence-130814-both_sexes--
Cystatin C,30720,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376784,,0.0000149234188239583,0.0293792052950017,,,continuous-30720-both_sexes--irnt
body fat percent female custom,body_fat_percent_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210152,,0.0000171440030407704,0.0484916727921516,,,continuous-body_fat_percent_female_custom-females--custom
K76 Other diseases of liver,131670,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,6864,387977,0.0000187287857881345,0.24464530065351,,,icd_first_occurrence-131670-both_sexes--
Mean sphered cell volume,30270,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377155,,0.0000204052306418303,0.0312424255900639,,,continuous-30270-both_sexes--irnt
fat free mass index custom,fat_free_mass_index_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387569,,0.0000216592863222069,0.0226137651628129,,,continuous-fat_free_mass_index_custom-both_sexes--custom
all cause cirrhosis custom,all_cause_cirrhosis_custom,categorical,,Health-related outcomes > Hepatobiliary,,2360,385485,0.0000221122404416636,0.410560321831857,,,categorical-all_cause_cirrhosis_custom-both_sexes--custom
I25 Chronic ischaemic heart disease,131306,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,30007,364834,0.0000239125691472051,0.117812334411517,,,icd_first_occurrence-131306-both_sexes--
alcoholic cirrhosis custom,alcoholic_cirrhosis_custom,categorical,,Health-related outcomes > Hepatobiliary,,770,385587,0.0000260943408148917,0.698867683732583,,,categorical-alcoholic_cirrhosis_custom-both_sexes--custom
Forced vital capacity (FVC),3062,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,360076,,0.0000278163157797387,-0.0229487429021981,,,continuous-3062-both_sexes--irnt
Aspartate aminotransferase,30650,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,375430,,0.0000279484090482151,0.0301435085370018,,,continuous-30650-both_sexes--irnt
Arm fat-free mass (right),23121,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387859,,0.0000290766415583905,0.0188918200207537,,,continuous-23121-both_sexes--irnt
BMDadjBMI custom,BMDadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,382170,,0.0000317330071313846,-0.0298235109407683,,,continuous-BMDadjBMI_custom-both_sexes--custom
BMDadjHtWt custom,BMDadjHtWt_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,382170,,0.0000330911602871095,-0.0303106490087403,,,continuous-BMDadjHtWt_custom-both_sexes--custom
Arm predicted mass (right),23122,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387852,,0.0000413892822328557,0.0184610651587606,,,continuous-23122-both_sexes--irnt
W77.1 Repair of capsule of joint for stabilisation of joint NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,221,394620,0.0000425268500274083,-1.17619155738816,,,categorical-41200-both_sexes-W771-
Basal metabolic rate,23105,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387962,,0.0000425556131353074,0.0195633074634198,,,continuous-23105-both_sexes--irnt
Townsend deprivation index at recruitment,189,continuous,,Population characteristics > Baseline characteristics,,394375,,0.000045609292870289,0.0298133030494394,,,continuous-189-both_sexes--irnt
Direct bilirubin,30660,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,320418,,0.0000457831371992696,0.0391451125587755,,,continuous-30660-both_sexes--irnt
weight female custom,weight_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213032,,0.0000514976002993444,0.0454987493573425,,,continuous-weight_female_custom-females--custom
appendicularFFMI male custom,appendicularFFMI_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,177683,,0.0000541853388353399,0.048478187835098,,,continuous-appendicularFFMI_male_custom-males--custom
High cholesterol,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,48438,346345,0.0000602503211142583,0.0883330889438359,,,categorical-20002-both_sexes-1473-
weightadjheight female custom,weightadjheight_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212969,,0.0000603855869813898,0.0456629609851571,,,continuous-weightadjheight_female_custom-females--custom
Protein,100003,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.0000627908506546103,-0.0748400686806129,,,continuous-100003-both_sexes--irnt
BMI female custom,BMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212969,,0.0000920561823070016,0.0444521866851948,,,continuous-BMI_female_custom-females--custom
Arm fat-free mass (left),23125,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387788,,0.0000981452410960456,0.0180473894306113,,,continuous-23125-both_sexes--irnt
Leg fat-free mass (left),23117,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387906,,0.000099442403041426,0.0183950136487553,,,continuous-23117-both_sexes--irnt
"Father's age at death",1807,continuous,,UK Biobank Assessment Centre > Touchscreen > Family history,,291196,,0.000100634837652331,-0.0334819430095027,,,continuous-1807-both_sexes--irnt
Arm predicted mass (left),23126,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387773,,0.000105528473637513,0.0178940017521199,,,continuous-23126-both_sexes--irnt
Leg predicted mass (left),23118,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387901,,0.00011110690437196,0.0181466571648733,,,continuous-23118-both_sexes--irnt
Ever taken cannabis,20453,continuous,,Online follow-up > Mental health > Cannabis use,,128117,,0.00011397572396751,-0.0455828180881815,,,continuous-20453-both_sexes--
waist circ female custom,waist_circ_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213243,,0.000114523981373885,0.0387601348544623,,,continuous-waist_circ_female_custom-females--custom
Immature reticulocyte fraction,30280,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.000128363605697264,-0.0289092714927904,,,continuous-30280-both_sexes--irnt
Apolipoprotein A,30630,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,343018,,0.000132951284457028,-0.0275431423443476,,,continuous-30630-both_sexes--irnt
WHR female custom,WHR_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213209,,0.000189424903632636,0.0372566736348488,,,continuous-WHR_female_custom-females--custom
Touchscreen duration,630,continuous,,UK Biobank Assessment Centre > Procedural metrics > Process durations,,394656,,0.000199937948657982,0.0251071655034739,,,continuous-630-both_sexes--irnt
Forced expiratory volume in 1-second (FEV1),3063,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,360076,,0.000218544344777837,-0.0208760990754307,,,continuous-3063-both_sexes--irnt
CAD custom,CAD_custom,categorical,,Health-related outcomes > Cardiac/Metabolism,,13168,363361,0.000251596480373166,0.151927018655431,,,categorical-CAD_custom-both_sexes--custom
Monocyte percentage,30190,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382770,,0.000278762599449254,0.0262356052015715,,,continuous-30190-both_sexes--irnt
Leg predicted mass (right),23114,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387931,,0.00029901938311354,0.0168913747462166,,,continuous-23114-both_sexes--irnt
Mean ISOVF in middle cerebellar peduncle on FA skeleton,25440,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.000310449295140279,0.128235271599671,,,continuous-25440-both_sexes--irnt
Monocyte count,30130,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382765,,0.000318220183048162,0.025990128510908,,,continuous-30130-both_sexes--irnt
Leg fat-free mass (right),23113,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387932,,0.000346029675479695,0.0168218478835038,,,continuous-23113-both_sexes--irnt
fat free mass index male custom,fat_free_mass_index_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,177621,,0.00036187286179261,0.0437546605571513,,,continuous-fat_free_mass_index_male_custom-males--custom
Vitamin E,100025,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.00039339666184224,-0.0676803337196099,,,continuous-100025-both_sexes--irnt
Saturated fat,100006,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.000393603175960631,-0.0666612417009668,,,continuous-100006-both_sexes--irnt
Thiamine preparation,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,545,394238,0.00045915383293646,0.730408332439322,,,categorical-20003-both_sexes-1140888366-
bone mineral density custom,bone_mineral_density_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,382704,,0.000488212313800514,-0.0249727969091631,,,continuous-bone_mineral_density_custom-both_sexes--custom
heart failure custom,heart_failure_custom,categorical,,Health-related outcomes > Cardiac/Metabolism,,12823,381907,0.000492988756871532,0.148189587979739,,,categorical-heart_failure_custom-both_sexes--custom
WHR male custom,WHR_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,180875,,0.000553705754923584,0.0369569290329053,,,continuous-WHR_male_custom-males--custom
Z49.5 Skin of buttock,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,791,394050,0.000555014896063136,-0.573896816820764,,,categorical-41210-both_sexes-Z495-
non alcoholic cirrhosis custom,non_alcoholic_cirrhosis_custom,categorical,,Health-related outcomes > Hepatobiliary,,1941,385581,0.000599220981629918,0.368741788055453,,,categorical-non_alcoholic_cirrhosis_custom-both_sexes--custom
Afib custom,Afib_custom,categorical,,Health-related outcomes > Cardiac/Metabolism,,27000,325912,0.000690291224189742,0.0991431766584476,,,categorical-Afib_custom-both_sexes--custom
"Heel bone mineral density (BMD) T-score, automated",78,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,227021,,0.000692651820460138,-0.0364543631652636,,,continuous-78-both_sexes--irnt
C79 Secondary malignant neoplasm of other sites,C79,icd10,,"Chapter II Neoplasms | C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites | C79 Secondary malignant neoplasm of other sites",,3356,391485,0.000694149899136476,0.279407048435729,,,icd10-C79-both_sexes--
Bendroflumethiazide,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,22256,372527,0.000751608521641461,0.107964572520617,,,categorical-20003-both_sexes-1141194794-
Polyunsaturated fat,100007,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.000764133264663367,-0.0641058924892097,,,continuous-100007-both_sexes--irnt
Whole body water mass,23102,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387974,,0.000790254578160725,0.0153209676684328,,,continuous-23102-both_sexes--irnt
Voltarol emulgel,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,221,394562,0.000811254794018799,-1.00779943996123,,,categorical-20003-both_sexes-1140877892-
WBfatfreemass custom,WBfatfreemass_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,0.000849113533806259,0.0151946900006672,,,continuous-WBfatfreemass_custom-both_sexes--custom
Whole body fat-free mass,23101,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,0.000863990889061815,0.0151727039836145,,,continuous-23101-both_sexes--irnt
