GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000204480	1	13684889	13708405	1	1	361167	0.49037	0.31194	PRAMEF19
ENSG00000162494	1	13791445	13850543	285	49	361193	0.4132	0.33973	LRRC38
ENSG00000162493	1	13899960	13954452	267	50	361193	1.7512	0.039958	PDPN
ENSG00000116731	1	14016693	14161574	572	44	361194	0.62441	0.26618	PRDM2
ENSG00000189337	1	14915200	15454539	2440	251	361194	1.3448	0.089343	KAZN
ENSG00000171729	1	15469028	15556976	446	36	361194	0.93521	0.17484	TMEM51
ENSG00000204464	1	15480840	15507813	113	19	361194	1.5465	0.060989	C1orf195
ENSG00000142621	1	15563768	15736779	686	94	361194	0.61563	0.26907	FHAD1
ENSG00000142634	1	15726391	15766839	172	44	361193	1.6525	0.049211	EFHD2
ENSG00000162438	1	15754935	15785737	121	28	361194	2.6499	0.0040254	CTRC
ENSG00000142615	1	15773223	15808586	148	34	361194	2.9898	0.0013958	CELA2A
ENSG00000215704	1	15782404	15827895	224	35	361194	2.2425	0.012463	CELA2B
ENSG00000132906	1	15807327	15863029	228	27	361194	1.5281	0.06324	CASP9
ENSG00000116138	1	15843308	15928874	387	25	361194	1.6987	0.044689	DNAJC16
ENSG00000116771	1	15888848	15921605	178	22	361194	1.7941	0.036395	AGMAT
ENSG00000197312	1	15933995	16005539	267	13	361194	1.5104	0.065469	DDI2
ENSG00000215695	1	15976364	15998217	78	10	361194	1.3821	0.083472	RSC1A1
ENSG00000116786	1	16000827	16071264	319	28	361194	2.3309	0.0098806	PLEKHM2
ENSG00000162461	1	16052900	16077891	100	24	361194	2.6503	0.0040214	SLC25A34
ENSG00000162460	1	16058917	16084477	117	25	361194	3.2059	0.00067311	TMEM82
ENSG00000162458	1	16073102	16123089	211	45	361194	4.0079	3.0627e-05	FBLIM1
ENSG00000065526	1	16164359	16276955	365	40	361194	6.2147	2.5707e-10	SPEN
ENSG00000116809	1	16258364	16312627	166	42	361194	6.5415	3.0449e-11	ZBTB17
ENSG00000183888	1	16320731	16345302	163	24	361194	3.7456	8.9988e-05	C1orf64
ENSG00000173641	1	16330523	16356089	148	31	361194	4.4327	4.6537e-06	HSPB7
ENSG00000186510	1	16335370	16370545	244	38	361194	3.8561	5.7608e-05	CLCNKA
ENSG00000184908	1	16360272	16393803	286	32	361193	2.0074	0.022352	CLCNKB
ENSG00000185519	1	16374264	16410127	233	32	361194	-0.26785	0.60559	FAM131C
ENSG00000142627	1	16440832	16492582	143	47	361194	-0.33213	0.63011	EPHA2
ENSG00000142632	1	16514349	16549104	144	19	361194	2.0113	0.022147	ARHGEF19
ENSG00000204377	1	16545368	16566038	66	12	361194	1.4157	0.078435	C1orf134
ENSG00000132881	1	16548195	16573657	79	15	361194	1.4927	0.067753	RSG1
ENSG00000037637	1	16563334	16688949	422	27	361194	1.1619	0.12263	FBXO42
ENSG00000055070	1	16669070	16734640	261	22	361194	0.15904	0.43682	SZRD1
ENSG00000187144	1	16703612	16773919	280	39	361194	0.29743	0.38307	SPATA21
ENSG00000157191	1	16757167	16796573	157	40	361194	-0.055804	0.52225	NECAP2
ENSG00000268674	1	16855561	16876070	40	9	361193	0.73794	0.23027	FAM231B
ENSG00000219481	1	16878814	16950057	2	1	361194	0.18038	0.42843	NBPF1
ENSG00000058453	1	17056768	17309474	191	37	361194	2.33	0.0099028	CROCC
ENSG00000117122	1	17290997	17317330	89	30	361194	2.4925	0.0063424	MFAP2
ENSG00000159363	1	17302453	17348423	118	30	361194	2.8995	0.0018686	ATP13A2
ENSG00000117118	1	17335217	17390665	151	32	361194	2.3986	0.0082293	SDHB
ENSG00000117115	1	17383256	17455948	214	54	361194	1.165	0.12201	PADI2
ENSG00000142623	1	17521621	17582500	345	76	361193	0.13813	0.44507	PADI1
ENSG00000142619	1	17565593	17620728	330	42	361194	1.3698	0.085367	PADI3
ENSG00000159339	1	17624690	17700499	379	54	361194	1.0424	0.14861	PADI4
ENSG00000269468	1	17645507	17686070	180	36	361194	0.51819	0.30216	AC004824.2
ENSG00000179051	1	17723256	17776220	227	43	361194	0.85784	0.19549	RCC2
ENSG00000074964	1	17856330	18034369	617	86	361194	-0.26728	0.60537	ARHGEF10L
ENSG00000117148	1	18071808	18163558	382	45	361193	1.4001	0.080744	ACTL8
ENSG00000117154	1	18424240	18714977	1236	171	361194	1.7807	0.037483	IGSF21
ENSG00000179023	1	18797424	18822478	125	31	361194	0.9315	0.1758	KLHDC7A
ENSG00000009709	1	18947500	19085360	555	104	361194	-1.23	0.89066	PAX7
ENSG00000179002	1	19156093	19196176	302	44	361194	-1.2459	0.89359	TAS1R2
ENSG00000255275	1	19165767	19257615	625	73	361194	-0.86072	0.8053	RP13-279N23.2
ENSG00000159423	1	19187926	19239275	356	45	361194	-0.17953	0.57124	ALDH4A1
ENSG00000169991	1	19220775	19293180	380	61	361194	-0.56971	0.71556	IFFO2
ENSG00000127481	1	19391000	19546770	448	47	361194	-0.91826	0.82076	UBR4
ENSG00000127463	1	19532158	19588046	257	28	361194	-0.82727	0.79596	EMC1
ENSG00000053372	1	19568033	19596622	165	23	361194	0.11867	0.45277	MRTO4
ENSG00000162482	1	19599052	19625744	131	11	361194	1.1491	0.12526	AKR7A3
ENSG00000053371	1	19620459	19648640	128	30	361194	3.2645	0.00054828	AKR7A2
ENSG00000040487	1	19628820	19665794	221	35	361194	4.168	1.5367e-05	PQLC2
ENSG00000077549	1	19655267	19822066	828	43	361194	5.2694	6.8427e-08	CAPZB
ENSG00000270136	1	19913473	19994549	324	48	361194	3.6364	0.00013822	MINOS1-NBL1
ENSG00000173436	1	19913477	19966314	191	30	361194	3.3374	0.00042278	MINOS1
ENSG00000158747	1	19957048	19994945	187	46	361193	3.0676	0.0010789	NBL1
ENSG00000158748	1	19981780	20016055	123	24	361193	1.4714	0.070594	HTR6
ENSG00000162542	1	19998706	20136438	504	60	361194	1.1994	0.11519	TMCO4
ENSG00000178828	1	20130523	20151771	119	27	361193	-0.067179	0.52678	RNF186
ENSG00000169914	1	20199006	20249438	200	35	361194	-0.06771	0.52699	OTUD3
ENSG00000188784	1	20236502	20260110	111	30	361194	0.040068	0.48402	PLA2G2E
ENSG00000188257	1	20291925	20316932	127	32	361194	0.25249	0.40033	PLA2G2A
ENSG00000127472	1	20344672	20427683	343	36	361194	0.75405	0.22541	PLA2G5
ENSG00000117215	1	20428432	20456050	110	35	361194	0.30508	0.38015	PLA2G2D
ENSG00000158786	1	20455819	20486879	108	41	361193	0.61385	0.26966	PLA2G2F
ENSG00000187980	1	20477746	20513917	129	33	361194	0.93379	0.17521	PLA2G2C
ENSG00000162543	1	20502578	20532541	102	23	361194	1.6065	0.05408	UBXN10
ENSG00000158816	1	20607412	20691387	416	44	361194	-0.23204	0.59175	VWA5B1
ENSG00000162545	1	20798884	20822713	74	21	361194	0.27632	0.39115	CAMK2N1
ENSG00000090432	1	20815943	20844654	123	27	361194	0.15519	0.43833	MUL1
ENSG00000183114	1	20868932	20891512	121	27	361193	-0.54289	0.7064	FAM43B
ENSG00000158825	1	20905441	20955401	242	31	361194	0.48967	0.31218	CDA
ENSG00000158828	1	20949948	20988004	170	21	361194	0.73324	0.23171	PINK1
ENSG00000244038	1	20968270	20998000	128	20	361194	0.66351	0.2535	DDOST
ENSG00000117245	1	20980507	21054510	321	66	361194	1.4446	0.074292	KIF17
ENSG00000189410	1	21036225	21069330	136	35	361194	0.99814	0.15911	SH2D5
ENSG00000127483	1	21059154	21123816	216	30	361194	1.7943	0.036386	HP1BP3
ENSG00000075151	1	21122963	21513377	1203	48	361194	1.7848	0.037143	EIF4G3
ENSG00000117298	1	21533740	21681997	607	65	361194	0.84976	0.19773	ECE1
ENSG00000142794	1	21756621	21821498	246	37	361194	0.77774	0.21836	NBPF3
ENSG00000162551	1	21825858	21914905	500	53	361194	5.401	3.3128e-08	ALPL
ENSG00000076864	1	21912708	22005801	447	83	361194	8.6064	3.7704e-18	RAP1GAP
ENSG00000090686	1	21994791	22120099	539	54	361194	5.8886	1.9479e-09	USP48
ENSG00000187942	1	22128758	22161714	167	52	361194	5.1923	1.0385e-07	LDLRAD2
ENSG00000142798	1	22138738	22273790	598	68	361194	5.309	5.5124e-08	HSPG2
ENSG00000219073	1	22293514	22335135	262	28	361193	5.4874	2.0394e-08	CELA3B
ENSG00000142789	1	22318149	22349032	107	27	361193	4.2243	1.1986e-05	CELA3A
ENSG00000070831	1	22369120	22429437	217	46	361194	6.8479	3.7472e-12	CDC42
ENSG00000162552	1	22433798	22480462	189	47	361194	8.0577	3.8858e-16	WNT4
ENSG00000184677	1	22768344	22867650	291	33	361194	2.534	0.005638	ZBTB40
ENSG00000070886	1	22880057	22940087	328	42	361194	0.86044	0.19477	EPHA8
ENSG00000173372	1	22952999	22976101	110	14	361194	0.03125	0.48753	C1QA
ENSG00000159189	1	22960123	22984603	137	17	361194	0.25698	0.3986	C1QC
ENSG00000173369	1	22969255	22998031	140	20	361194	0.73151	0.23223	C1QB
ENSG00000133216	1	23027332	23251818	609	110	361193	0.59503	0.27591	EPHB2
ENSG00000215906	1	23269536	23301831	100	26	361194	1.8215	0.034268	LACTBL1
ENSG00000227868	1	23327327	23352343	41	24	361194	2.4509	0.0071247	C1orf234
ENSG00000004487	1	23335941	23420182	119	47	361194	2.361	0.0091131	KDM1A
ENSG00000169641	1	23400516	23514301	335	38	361194	2.408	0.0080199	LUZP1
ENSG00000179546	1	23506993	23531222	132	13	361194	1.0645	0.14354	HTR1D
ENSG00000125944	1	23620264	23680829	142	36	361194	5.8842	2e-09	HNRNPR
ENSG00000125945	1	23675941	23705935	94	19	361194	4.3999	5.4159e-06	ZNF436
ENSG00000249087	1	23685490	23708332	57	14	361193	4.4806	3.7221e-06	C1orf213
ENSG00000204219	1	23697554	23761233	166	37	361194	3.7481	8.9087e-05	TCEA3
ENSG00000088280	1	23745056	23821061	241	30	361194	1.8687	0.030831	ASAP3
ENSG00000007968	1	23822922	23867712	122	29	361193	3.9613	3.7268e-05	E2F2
ENSG00000117318	1	23874409	23896285	69	26	361194	3.9791	3.4596e-05	ID3
ENSG00000197880	1	23897985	23977058	213	65	361194	0.74232	0.22895	MDS2
ENSG00000142676	1	24008269	24032915	64	14	361193	2.272	0.011545	RPL11
ENSG00000011007	1	24059645	24098549	70	34	361194	0.9083	0.18186	TCEB3
ENSG00000057757	1	24094895	24124722	42	31	361194	-0.0071715	0.50286	PITHD1
ENSG00000011009	1	24107460	24132029	33	24	361194	-0.029453	0.51175	LYPLA2
ENSG00000117308	1	24112089	24137271	26	21	361194	-0.071205	0.52838	GALE
ENSG00000117305	1	24118375	24175110	100	19	361194	-0.44005	0.67005	HMGCL
ENSG00000179163	1	24161567	24204784	123	18	361194	-0.83253	0.79745	FUCA1
ENSG00000188822	1	24187016	24295549	124	34	361193	0.23176	0.40836	CNR2
ENSG00000189266	1	24275599	24299952	9	4	361191	0.33941	0.36715	PNRC2
ENSG00000188529	1	24281294	24317417	15	4	361190	0.37997	0.35198	SRSF10
ENSG00000142661	1	24372525	24448665	329	39	361194	-0.12881	0.55125	MYOM3
ENSG00000142677	1	24436261	24479611	165	40	361194	-1.1318	0.87115	IL22RA1
ENSG00000185436	1	24470647	24524449	199	37	361193	-1.4411	0.92522	IFNLR1
ENSG00000158055	1	24635812	24700972	241	56	361194	-0.36347	0.64187	GRHL3
ENSG00000001460	1	24673489	24753424	309	30	361194	0.68885	0.24546	STPG1
ENSG00000001461	1	24732284	24809466	304	40	361194	0.96739	0.16667	NIPAL3
ENSG00000117602	1	24819387	24877530	259	32	361194	0.6902	0.24503	RCAN3
ENSG00000184454	1	24872602	24945819	388	45	361194	1.0725	0.14175	NCMAP
ENSG00000133226	1	24948207	25009758	140	37	361193	0.64691	0.25885	SRRM1
ENSG00000169504	1	25061848	25180815	237	68	361194	3.5618	0.00018414	CLIC4
ENSG00000020633	1	25216002	25301612	303	59	361194	1.8093	0.035202	RUNX3
ENSG00000117614	1	25539170	25568993	53	30	361194	-0.25006	0.59873	SYF2
ENSG00000117616	1	25558728	25674704	194	46	361192	1.1647	0.12207	C1orf63
ENSG00000187010	1	25588884	25666936	106	27	361191	1.3612	0.08672	RHD
ENSG00000183726	1	25654408	25698852	95	15	361193	0.80993	0.20899	TMEM50A
ENSG00000188672	1	25678740	25766683	160	23	361194	0.7072	0.23972	RHCE
ENSG00000204178	1	25747388	25836700	194	24	361194	1.7494	0.04011	TMEM57
