	SYMBOL	P	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT
94	PLEKHG5	0.032885	1	6466092	6520061	324	28	117241	1.84
95	NOL9	0.3513	1	6521347	6554598	194	42	117241	0.38181
96	TAS1R1	0.52887	1	6555278	6579757	197	31	117241	-0.07242
97	ZBTB48	0.57776	1	6579991	6589280	142	14	117241	-0.19617
98	KLHL21	0.74602	1	6590724	6602898	154	9	117241	-0.66201
99	PHF13	0.70089	1	6613696	6624033	142	15	117241	-0.52696
100	THAP3	0.36273	1	6624865	6635586	110	26	117241	0.35117
101	DNAJC11	0.29554	1	6634168	6701906	308	49	117241	0.53729
102	CAMTA1	0.086738	1	6785324	7769706	3998	259	117241	1.3611
103	VAMP3	0.10198	1	7771269	7781432	101	27	117241	1.2704
104	PER3	0.071772	1	7784380	7845181	297	44	117241	1.4627
105	UTS2	0.0092105	1	7847612	7913610	437	44	117241	2.357
106	TNFRSF9	0.0010931	1	7915871	7943165	282	28	117241	3.0637
107	PARK7	0.048875	1	7961654	7985283	197	27	117241	1.6559
108	ERRFI1	0.00030933	1	8011719	8026333	106	25	117241	3.4233
109	SLC45A1	0.63695	1	8318085	8344167	189	26	117241	-0.35032
110	RERE	0.0031692	1	8352404	8817691	1280	49	117241	2.7297
111	ENO1	0.014503	1	8861000	8879092	101	23	117241	2.1834
112	CA6	0.46046	1	8945785	8975092	209	36	117241	0.099263
113	SLC2A7	0.90748	1	8960853	9026384	445	73	117241	-1.3254
114	SLC2A5	0.62053	1	9036943	9071704	245	66	117241	-0.30687
115	GPR157	0.51316	1	9103391	9129170	237	33	117241	-0.032999
116	H6PD	0.012087	1	9234776	9271337	242	32	117241	2.2543
117	SPSB1	7.2705e-10	1	9292882	9369532	536	74	117241	6.0494
118	SLC25A33	0.00017436	1	9539469	9582773	176	46	117241	3.5761
119	TMEM201	0.051901	1	9588853	9614877	121	21	117241	1.6267
120	PIK3CD	0.011008	1	9629889	9729114	390	59	117241	2.2901
121	CLSTN1	0.0036244	1	9729021	9824526	365	69	117241	2.6852
122	CTNNBIP1	0.20615	1	9848276	9910258	253	39	117241	0.81985
123	LZIC	0.19262	1	9922110	9943402	132	42	117241	0.86828
124	NMNAT1	0.02671	1	9942923	9985501	170	49	117241	1.9315
125	LOC105376719	0.0088481	1	9996423	9998089	75	23	117241	2.3719
126	RBP7	0.0071953	1	9997197	10016020	139	30	117241	2.4474
127	UBE4B	0.00016633	1	10032983	10181239	498	48	117241	3.5884
128	KIF1B	1.1678e-05	1	10210706	10381603	846	32	117241	4.2301
129	PGD	0.00050556	1	10398992	10420511	174	23	117241	3.2874
130	APITD1	0.00052253	1	10430102	10442815	132	22	117241	3.2781
131	APITD1-CORT	0.00045247	1	10430102	10452003	171	26	117241	3.3185
132	CORT	0.00011267	1	10449719	10452003	86	18	117241	3.6888
133	DFFA	0.0005934	1	10460531	10472556	116	19	117241	3.242
134	PEX14	1.3744e-07	1	10474946	10630758	641	44	117241	5.1399
135	CASZ1	0.00029311	1	10636604	10796676	662	88	117241	3.4379
136	C1orf127	0.57611	1	10946473	10982037	248	37	117241	-0.19196
137	TARDBP	0.029887	1	11012622	11025492	149	24	117241	1.8825
138	MASP2	0.002239	1	11026523	11047239	156	17	117241	2.8424
139	SRM	0.0015991	1	11054592	11060034	85	14	117241	2.948
140	EXOSC10	0.00079298	1	11066613	11099910	163	22	117241	3.1585
141	MTOR	0.00056602	1	11106531	11262557	533	16	117241	3.2555
142	ANGPTL7	0.0080101	1	11189289	11195981	75	10	117241	2.4085
143	UBIAD1	4.719e-06	1	11273198	11296595	132	11	117241	4.4297
144	PTCHD2	0.23565	1	11479238	11537583	348	34	117241	0.72035
145	FBXO2	0.12326	1	11648361	11654831	135	26	117241	1.1588
146	FBXO44	0.14878	1	11654375	11663327	137	20	117241	1.0417
147	FBXO6	0.11572	1	11664093	11674354	129	16	117241	1.1967
148	MAD2L2	0.097699	1	11674480	11691788	156	20	117241	1.2948
149	DRAXIN	0.036694	1	11686647	11720612	223	44	117241	1.7904
150	AGTRAP	0.39248	1	11735474	11750771	146	33	117241	0.27286
151	C1orf167	0.072774	1	11762183	11789585	178	39	117241	1.4554
152	MTHFR	0.32343	1	11785730	11806103	141	29	117241	0.45813
153	CLCN6	0.71011	1	11806096	11843144	260	23	117241	-0.55371
154	NPPA	0.60446	1	11845709	11847783	126	14	117241	-0.2649
155	NPPB	0.87747	1	11857464	11858935	95	14	117241	-1.1625
156	KIAA2013	0.98992	1	11919588	11926428	148	29	117241	-2.3233
157	PLOD1	0.92257	1	11934667	11975542	387	28	117241	-1.4226
158	MFN2	0.9275	1	11980181	12013515	227	32	117241	-1.4574
159	MIIP	0.95639	1	12019242	12032049	116	17	117241	-1.7103
160	TNFRSF8	0.9302	1	12063330	12144207	287	42	117241	-1.4773
161	TNFRSF1B	0.38331	1	12166949	12209222	231	48	117241	0.29681
162	VPS13D	0.19362	1	12230039	12512047	926	64	117241	0.86464
163	DHRS3	0.33358	1	12567910	12618361	384	48	117241	0.43006
164	AADACL4	0.24216	1	12644547	12667086	180	40	117241	0.69936
165	AADACL3	0.28956	1	12716115	12728759	102	11	117241	0.55468
166	C1orf158	0.12735	1	12746186	12761169	121	13	117241	1.139
167	PRAMEF12	0.07351	1	12763223	12777906	110	19	117241	1.4501
168	PRAMEF1	0.015211	1	12791397	12796628	104	8	117241	2.1646
169	PRAMEF11	0.057128	1	12824380	12831410	94	15	117241	1.5793
170	HNRNPCL1	0.32092	1	12847377	12848756	53	11	117241	0.46512
171	PRAMEF2	0.39159	1	12857086	12861909	225	15	117241	0.27518
172	PRAMEF4	0.40536	1	12879212	12886201	68	7	117241	0.2395
173	PRAMEF10	0.41668	1	12892896	12898270	30	3	117241	0.2104
174	PRAMEF7	0.42124	1	12916647	12920480	97	5	117241	0.19872
175	PRAMEF6	0.73135	1	12938472	12947580	10	2	117241	-0.61689
176	HNRNPCL2	0.70005	1	13115488	13116854	6	3	117241	-0.52454
177	PRAMEF26	0.21163	1	13148751	13153111	3	2	117241	0.80076
178	HNRNPCL4	0.53035	1	13164555	13165482	14	4	117241	-0.076142
179	PRAMEF9	0.62495	1	13175281	13179132	66	8	117241	-0.31851
180	LOC400736	0.42156	1	13196188	13201409	28	6	117241	0.19791
181	LRRC38	0.25247	1	13474977	13513781	5	1	117241	0.66675
182	PRDM2	0.23458	1	13700240	13825079	288	42	117241	0.72384
183	KAZN	0.042945	1	13893515	15118048	6118	373	117241	1.7175
184	TMEM51	0.74813	1	15152532	15220478	345	60	117241	-0.66863
185	C1orf195	0.39754	1	15164196	15171624	131	16	117241	0.25971
186	FHAD1	0.39058	1	15236602	15400283	970	112	117241	0.2778
187	EFHD2	0.6931	1	15409895	15430343	219	42	117241	-0.50465
188	CTRC	0.1865	1	15438442	15449247	184	27	117241	0.89087
189	CELA2A	0.22835	1	15456728	15472091	178	22	117241	0.74429
190	CELA2B	0.29515	1	15476101	15491400	185	22	117241	0.5384
191	CASP9	0.3207	1	15491401	15526529	317	28	117241	0.46575
192	DNAJC16	0.10406	1	15526813	15571733	447	41	117241	1.2587
193	AGMAT	0.035918	1	15571699	15585110	200	20	117241	1.8002
194	DDI2	0.51144	1	15617458	15661057	218	41	117241	-0.028679
195	RSC1A1	0.33985	1	15659869	15661722	66	14	117241	0.41287
196	PLEKHM2	0.11151	1	15684267	15734769	303	42	117241	1.2186
197	SLC25A34	0.03571	1	15735088	15741392	118	30	117241	1.8028
198	TMEM82	0.032062	1	15742492	15747797	110	34	117241	1.8513
199	FBLIM1	0.63887	1	15756171	15786589	174	37	117241	-0.35544
200	UQCRHL	0.061904	1	15807162	15807699	100	22	117241	1.539
201	SPEN	0.068434	1	15847864	15940455	533	22	117241	1.4876
202	ZBTB17	0.44571	1	15941869	15976132	188	16	117241	0.13651
203	TBC1D3P6	0.31377	1	15976131	15997206	134	15	117241	0.48519
204	C1orf64	0.18269	1	16004236	16006695	80	13	117241	0.90517
205	HSPB7	0.25207	1	16014028	16018796	101	18	117241	0.66799
206	CLCNKA	0.26683	1	16021991	16034050	152	20	117241	0.62244
207	CLCNKB	0.19137	1	16043736	16057326	146	22	117241	0.87285
208	FAM131C	0.21161	1	16057769	16073632	147	35	117241	0.80084
209	EPHA2	0.39609	1	16124337	16156087	327	24	117241	0.26349
210	ARHGEF19	0.16758	1	16197856	16212671	110	30	117241	0.96377
211	ANO7P1	0.15889	1	16215907	16227036	106	28	117241	0.99902
212	RSG1	0.21395	1	16231687	16237452	74	22	117241	0.79279
213	FBXO42	0.019198	1	16246840	16352491	627	45	117241	2.0706
214	SZRD1	0.24457	1	16367030	16398148	435	42	117241	0.69169
215	SPATA21	0.045312	1	16387117	16437842	431	37	117241	1.6921
216	NECAP2	0.00084876	1	16440672	16460090	155	35	117241	3.1386
217	LOC102724970	0.057454	1	16535773	16536956	95	17	117241	1.5765
218	FAM231B	0.05346	1	16538724	16540035	92	19	117241	1.6122
219	NBPF1	0.12399	1	16562427	16613605	221	26	117241	1.1553
220	FAM231A	0.10836	1	16673003	16673512	73	13	117241	1.2353
221	LOC102723383	0.10348	1	16733807	16734539	98	21	117241	1.262
222	MST1L	0.18047	1	16754634	16764480	113	36	117241	0.91359
223	CROCC	0.91079	1	16895707	16972979	1	1	117241	-1.3456
224	ATP13A2	0.76288	1	16985958	17011972	5	1	117241	-0.7156
225	SDHB	0.43089	1	17018722	17054170	4	2	117241	0.17411
226	PADI2	0.96712	1	17066761	17119453	2	1	117241	-1.84
227	PADI1	4.1036e-08	1	17205123	17246006	24	14	117241	5.3625
228	PADI3	3.3728e-08	1	17249082	17284233	132	26	117241	5.3978
229	PADI4	6.3343e-15	1	17308195	17364004	258	27	117241	7.7091
230	PADI6	1.6357e-13	1	17372196	17401699	309	19	117241	7.2827
231	RCC2	6.6982e-14	1	17406755	17439754	321	26	117241	7.4022
232	ARHGEF10L	0.091606	1	17520197	17697875	1263	97	117241	1.3309
233	ACTL8	0.15487	1	17712000	17827063	659	43	117241	1.0158
234	IGSF21	0.38823	1	18107746	18378484	1327	129	117241	0.28393
235	KLHDC7A	0.066905	1	18480930	18485999	172	37	117241	1.4992
236	PAX7	0.66793	1	18631006	18748866	610	83	117241	-0.43422
237	TAS1R2	0.764	1	18839599	18859661	214	41	117241	-0.71922
238	ALDH4A1	0.36516	1	18871430	18902799	213	33	117241	0.34469
239	IFFO2	0.44796	1	18904280	18956667	314	33	117241	0.13081
240	UBR4	0.45777	1	19074506	19210319	983	94	117241	0.10606
241	EMC1	0.77942	1	19215664	19251559	329	49	117241	-0.77025
242	MRTO4	0.98817	1	19251581	19260128	140	33	117241	-2.2625
243	AKR7A3	0.93381	1	19274325	19289346	167	24	117241	-1.5048
244	AKR7A2	0.92526	1	19302708	19312146	168	20	117241	-1.4414
245	PQLC2	0.94897	1	19312246	19332431	248	21	117241	-1.6349
246	CAPZB	0.36385	1	19338773	19485641	669	51	117241	0.34819
247	MINOS1	0.91382	1	19596977	19629821	275	28	117241	-1.3646
248	MINOS1-NBL1	0.86854	1	19596977	19658456	449	51	117241	-1.1195
249	NBL1	0.57158	1	19643229	19658456	204	33	117241	-0.1804
250	HTR6	0.4625	1	19665287	19680966	194	30	117241	0.094142
251	TMCO4	0.062266	1	19682213	19800353	704	37	117241	1.536
252	RNF186	0.075542	1	19814029	19815278	75	23	117241	1.4357
253	OTUD3	0.088834	1	19881702	19912945	243	33	117241	1.348
254	PLA2G2E	0.1416	1	19920307	19923617	73	16	117241	1.0731
255	PLA2G2A	0.020257	1	19975431	19980439	127	35	117241	2.0485
256	PLA2G5	0.10563	1	20028339	20091901	357	57	117241	1.2501
257	PLA2G2D	0.31525	1	20112650	20119566	78	14	117241	0.48103
258	PLA2G2F	0.53483	1	20139326	20150386	173	36	117241	-0.087428
259	LOC105376824	0.34116	1	20163076	20163980	113	22	117241	0.40929
260	PLA2G2C	0.48608	1	20163991	20175194	169	31	117241	0.034894
261	UBXN10	0.57804	1	20183302	20196048	166	29	117241	-0.19688
262	VWA5B1	0.66354	1	20290907	20360221	395	57	117241	-0.42214
263	CAMK2N1	0.81435	1	20482391	20486235	92	25	117241	-0.89403
264	MUL1	0.90102	1	20499448	20508181	94	30	117241	-1.2874
265	FAM43B	0.99126	1	20552439	20555020	81	22	117241	-2.3766
266	CDA	0.49486	1	20588951	20618908	301	45	117241	0.012892
267	PINK1	0.21142	1	20633455	20651511	191	34	117241	0.80152
268	DDOST	0.19385	1	20651767	20661544	149	28	117241	0.86379
269	KIF17	0.17975	1	20661643	20718017	287	37	117241	0.91631
270	SH2D5	0.33725	1	20719731	20732640	105	20	117241	0.41998
271	HP1BP3	0.48842	1	20742677	20787310	237	60	117241	0.029021
272	EIF4G3	4.8483e-05	1	20806292	21177320	1641	110	117241	3.8981
273	ECE1	0.0010435	1	21217247	21345541	469	41	117241	3.0776
274	NBPF3	0.0056999	1	21435318	21484900	198	30	117241	2.5302
275	ALPL	0.00012446	1	21508982	21578412	331	33	117241	3.6634
276	RAP1GAP	7.1537e-06	1	21596215	21669375	355	47	117241	4.3391
277	USP48	0.024937	1	21678298	21783199	608	52	117241	1.961
278	LDLRAD2	0.71472	1	21812265	21825221	198	31	117241	-0.56724
279	HSPG2	0.35645	1	21822232	21937297	749	86	117241	0.36797
280	CELA3B	0.067827	1	21976925	21998642	203	54	117241	1.4922
281	CELA3A	0.1706	1	22001656	22012542	162	46	117241	0.9518
282	CDC42	0.37898	1	22052627	22092943	269	31	117241	0.30815
283	WNT4	0.020409	1	22117305	22143981	219	57	117241	2.0454
284	ZBTB40	8.3711e-16	1	22428838	22531157	649	76	117241	7.9634
285	EPHA8	0.0085719	1	22563508	22603594	322	36	117241	2.3836
286	C1QA	0.50551	1	22636625	22639682	113	35	117241	-0.01382
287	C1QC	0.23463	1	22643625	22648110	114	44	117241	0.72369
288	C1QB	0.2178	1	22653179	22661552	104	34	117241	0.77964
289	EPHB2	0.066045	1	22710770	22915330	871	106	117241	1.5059
290	LACTBL1	0.0001772	1	22953043	22972316	168	24	117241	3.5719
291	C1orf234	0.47146	1	23010834	23015850	102	27	117241	0.071602
292	KDM1A	0.24729	1	23019443	23083691	288	52	117241	0.68304
293	LUZP1	0.39875	1	23084023	23177808	402	51	117241	0.25659
294	HTR1D	0.077133	1	23191895	23194729	46	13	117241	1.4246
295	HNRNPR	0.0089181	1	23304688	23344650	165	22	117241	2.369
296	ZNF436	4.5788e-05	1	23359448	23369864	55	16	117241	3.9119
297	TCEA3	0.010374	1	23380909	23424779	132	21	117241	2.3125
298	ASAP3	0.0019394	1	23428563	23484567	186	32	117241	2.8878
299	E2F2	0.00013744	1	23505974	23531250	216	20	117241	3.6379
300	ID3	0.096976	1	23557930	23559794	72	14	117241	1.299
301	RPL11	0.013804	1	23691779	23696425	80	16	117241	2.2028
302	TCEB3	0.21619	1	23743366	23762059	128	27	117241	0.78513
303	PITHD1	0.27143	1	23778386	23788232	94	20	117241	0.6085
304	LYPLA2	0.32538	1	23790785	23795539	92	20	117241	0.45271
305	GALE	0.34531	1	23795599	23800804	97	20	117241	0.39802
306	HMGCL	0.41184	1	23801877	23825459	190	23	117241	0.22281
307	FUCA1	0.30465	1	23845077	23868369	125	27	117241	0.51108
308	CNR2	0.028145	1	23873463	23913327	181	43	117241	1.9088
309	PNRC2	0.17555	1	23959811	23963462	82	24	117241	0.93244
310	SRSF10	0.32412	1	23964347	23980463	144	35	117241	0.45622
311	MYOM3	0.78023	1	24056041	24112175	138	37	117241	-0.77297
312	IL22RA1	0.93589	1	24119771	24143285	69	18	117241	-1.5212
313	IFNLR1	0.74269	1	24154157	24187275	153	18	117241	-0.65166
314	GRHL3	0.68108	1	24319322	24364482	54	15	117241	-0.47072
315	STPG1	0.22004	1	24356999	24415497	317	30	117241	0.77207
316	NIPAL3	0.43544	1	24413674	24472983	344	45	117241	0.16253
317	RCAN3	0.040491	1	24502351	24537020	227	46	117241	1.745
318	NCMAP	0.5855	1	24556076	24609328	309	34	117241	-0.21598
319	SRRM1	0.031387	1	24643012	24673281	180	47	117241	1.8608
320	CLIC4	0.067168	1	24745269	24844324	455	49	117241	1.4972
321	RUNX3	0.33943	1	24899511	24965157	359	40	117241	0.41402
322	SYF2	1.2423e-05	1	25222276	25232522	137	31	117241	4.2162
323	RSRP1	7.3152e-06	1	25242249	25267915	146	36	117241	4.3342
324	RHD	0.094459	1	25272393	25330445	350	46	117241	1.3138
325	TMEM50A	0.027042	1	25338298	25362361	256	31	117241	1.9262
326	RHCE	0.0024298	1	25360659	25430192	493	59	117241	2.8162
327	TMEM57	0.025645	1	25430858	25500209	432	45	117241	1.949
328	LDLRAP1	0.12091	1	25543580	25591287	133	50	117241	1.1704
329	MAN1C1	0.0031562	1	25617468	25786207	427	28	117241	2.7311
330	SEPN1	0.001039	1	25800176	25818222	97	14	117241	3.0788
331	MTFR1L	0.0017021	1	25819906	25832942	79	13	117241	2.9287
332	AUNIP	0.0017369	1	25831913	25859458	102	15	117241	2.9224
333	PAQR7	0.024338	1	25861484	25876707	100	19	117241	1.9714
334	STMN1	0.82185	1	25884186	25906877	159	31	117241	-0.92245
335	PAFAH2	0.18839	1	25959764	25998581	174	21	117241	0.88386
336	EXTL1	0.029272	1	26021741	26036464	82	12	117241	1.8916
337	SLC30A2	0.027674	1	26038022	26046138	50	9	117241	1.9161
338	LOC105376910	0.022656	1	26045895	26049057	35	7	117241	2.0017
339	TRIM63	0.046236	1	26051304	26067634	86	16	117241	1.6825
340	PDIK1L	0.090446	1	26111165	26125548	112	21	117241	1.338
341	FAM110D	0.11826	1	26159008	26162628	79	7	117241	1.1837
342	LOC105376887	0.11722	1	26165313	26169802	85	7	117241	1.189
343	ZNF593	0.115	1	26169897	26170873	74	7	117241	1.2003
344	CNKSR1	0.1212	1	26177490	26189884	82	8	117241	1.169
345	CATSPER4	0.23575	1	26190587	26202542	66	15	117241	0.72004
346	CEP85	0.10965	1	26234153	26279038	157	23	117241	1.2284
347	SH3BGRL3	0.11838	1	26279722	26281522	80	13	117241	1.1831
348	UBXN11	0.060402	1	26282282	26318265	198	21	117241	1.5514
349	CD52	0.046935	1	26317920	26320523	76	14	117241	1.6753
350	AIM1L	0.00067192	1	26321859	26354130	142	28	117241	3.2064
351	ZNF683	5.0398e-05	1	26361632	26374533	104	18	117241	3.8887
352	LIN28A	9.1286e-09	1	26410778	26429728	127	11	117241	5.6278
353	DHDDS	9.2697e-09	1	26432282	26471306	173	12	117241	5.6251
354	HMGN2	1e-09	1	26472411	26476642	75	18	117241	5.9978
355	RPS6KA1	0.014449	1	26529758	26575030	305	25	117241	2.1849
356	LOC101928728	0.011845	1	26692063	26696405	136	24	117241	2.2621
357	ARID1A	9.7141e-10	1	26696031	26782110	417	65	117241	6.0025
358	PIGV	3.3708e-07	1	26787963	26798403	92	29	117241	4.9687
359	ZDHHC18	4.2404e-05	1	26826710	26855720	158	26	117241	3.9304
360	SFN	1.571e-10	1	26863142	26864456	63	23	117241	6.2916
361	GPN2	0.00011261	1	26879382	26890378	97	16	117241	3.6889
362	GPATCH3	0.00023107	1	26890488	26901065	109	23	117241	3.5018
363	NUDC	9.3765e-05	1	26911128	26946871	124	31	117241	3.7352
364	NR0B2	2.5005e-05	1	26911484	26914076	70	22	117241	4.0556
365	KDF1	2.4489e-06	1	26949556	26960484	52	25	117241	4.5691
366	TRNP1	0.0017913	1	26993667	27000886	55	22	117241	2.9128
367	FAM46B	0.0064163	1	27005020	27012842	54	13	117241	2.4884
368	SLC9A1	0.0037336	1	27098809	27155130	153	33	117241	2.6753
369	WDTC1	0.016827	1	27234516	27308633	194	31	117241	2.1242
370	TMEM222	0.106	1	27322145	27336400	68	22	117241	1.2481
371	SYTL1	0.25576	1	27341992	27353932	71	13	117241	0.65648
372	MAP3K6	0.26483	1	27355179	27368014	107	11	117241	0.62853
373	FCN3	0.34769	1	27369110	27374825	116	15	117241	0.39156
374	CD164L2	0.105	1	27379100	27383333	100	16	117241	1.2535
375	GPR3	0.00080443	1	27392644	27395814	72	14	117241	3.1543
376	WASF2	0.014604	1	27404226	27490187	238	33	117241	2.1807
377	AHDC1	0.047109	1	27534245	27604178	229	35	117241	1.6736
378	FGR	0.033539	1	27612289	27635561	93	18	117241	1.8311
379	IFI6	0.27024	1	27666061	27672213	96	26	117241	0.61209
380	FAM76A	0.58161	1	27725979	27762915	135	29	117241	-0.20601
381	STX12	0.44664	1	27773183	27824452	177	20	117241	0.13415
382	PPP1R8	0.61447	1	27830741	27851672	110	21	117241	-0.29099
383	THEMIS2	0.54569	1	27872543	27886685	68	24	117241	-0.11478
384	RPA2	0.27009	1	27891524	27914797	79	19	117241	0.61255
385	SMPDL3B	0.34558	1	27934948	27959157	101	24	117241	0.39727
386	XKR8	0.59623	1	27959462	27968096	88	20	117241	-0.24361
387	EYA3	0.82557	1	27970344	28088675	410	38	117241	-0.93681
388	PTAFR	0.55571	1	28147166	28193936	174	35	117241	-0.1401
389	DNAJC8	0.54039	1	28200278	28233031	208	25	117241	-0.10143
390	ATPIF1	0.94788	1	28236091	28238105	108	14	117241	-1.6246
