Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
H33.6 Anterior resection of rectum and exteriorisation of bowel,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,367,394474,0.00497805041782084,1.11296593694957,,,categorical-41200-both_sexes-H336-
Mean corpuscular haemoglobin,30050,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383466,,0.00518062239655523,-0.0325338042938531,,,continuous-30050-both_sexes--irnt
Posterior thigh lean muscle volume (left),22406,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5099,,0.00521248681276067,-0.180029621327737,,,continuous-22406-both_sexes--irnt
Depressive symptoms custom,Depressive_symptoms_custom,continuous,,,,372325,,0.00530722915838043,0.0381281142431171,,,continuous-Depressive_symptoms_custom-both_sexes--custom
Pernicious anaemia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1203,393580,0.00534167890985427,-0.628445620375315,,,categorical-20002-both_sexes-1331-
Nifedipine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,872,393911,0.00553348454852055,0.745415870517187,,,categorical-20003-both_sexes-1140861088-
Mean ISOVF in uncinate fasciculus on FA skeleton (right),25484,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.00593561765000436,-0.158438146742496,,,continuous-25484-both_sexes--irnt
Anterior thigh lean muscle volume (left),22405,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5099,,0.00661052912547658,-0.169604243670681,,,continuous-22405-both_sexes--irnt
N95 Menopausal and other perimenopausal disorders,132152,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,29283,184330,0.00693109295510573,0.127313670554049,,,icd_first_occurrence-132152-both_sexes--
Mean MO in cingulum cingulate gyrus on FA skeleton (right),25186,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.00702794697438347,0.158495146535319,,,continuous-25186-both_sexes--irnt
Body fat percentage,23099,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,0.00712059453440838,-0.0248127580636003,,,continuous-23099-both_sexes--irnt
Weighted-mean OD in tract forceps major,25687,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.00715955971817991,0.158672320695245,,,continuous-25687-both_sexes--irnt
body fat percent custom,body_fat_percent_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387753,,0.00717193971017332,-0.0247914949892961,,,continuous-body_fat_percent_custom-both_sexes--custom
T36.1 Omentectomy,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,995,212618,0.0076801323172533,0.660938833763687,,,categorical-41210-both_sexes-T361-
Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,20407,continuous,,Online follow-up > Mental health > Alcohol use,,70837,,0.00793531425401326,-0.0284882919194579,,,continuous-20407-both_sexes--
K40.3 Saphenous vein graft replacement of three coronary arteries,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,162,394679,0.00807654131602246,1.55000691921366,,,categorical-41200-both_sexes-K403-
Mean OD in cingulum cingulate gyrus on FA skeleton (right),25426,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.00858568761924419,-0.155668958295351,,,continuous-25426-both_sexes--irnt
M45.9 Unspecified diagnostic endoscopic examination of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,25984,368857,0.00869000151920058,0.132695267799238,,,categorical-41200-both_sexes-M459-
H15.4 Closure of colostomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,353,394488,0.00877558343921927,1.08496546755386,,,categorical-41200-both_sexes-H154-
Testosterone,30850,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,341317,,0.0088597895844779,-0.020954773117495,,,continuous-30850-both_sexes--irnt
"J31 Chronic rhinitis, nasopharyngitis and pharyngitis",131466,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,5190,389651,0.00896592060944983,0.283611417067163,,,icd_first_occurrence-131466-both_sexes--
U10.6 Myocardial perfusion scan,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,772,394069,0.00897870968047208,0.714052375532049,,,categorical-41200-both_sexes-U106-
Leg fat mass (right),23112,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387940,,0.00919136647572958,-0.0253512809788336,,,continuous-23112-both_sexes--irnt
Leg fat mass (left),23116,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387922,,0.00922005879900963,-0.0250410741014643,,,continuous-23116-both_sexes--irnt
Volume of accumbens (right),25024,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,18180,,0.00927168843878967,0.132827100317439,,,continuous-25024-both_sexes--irnt
"Volume of brain, grey+white matter (normalised for head size)",25009,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI,,18193,,0.00943025265262917,0.121833518786054,,,continuous-25009-both_sexes--irnt
Chronic sinusitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2456,392327,0.0095052678149288,0.412293023768856,,,categorical-20002-both_sexes-1416-
Cholesterol,30690,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,376808,,0.00978159585142098,-0.0309786145937709,,,continuous-30690-both_sexes--irnt
Z09.4 Ulna nerve,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,719,394122,0.00979350553056092,-0.745781985073617,,,categorical-41210-both_sexes-Z094-
B34.2 Excision of mammary duct NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,268,213345,0.00981114730672166,1.19860273564931,,,categorical-41200-both_sexes-B342-
"Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (left)",25806,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.00996563504301278,0.141910382538566,,,continuous-25806-both_sexes--irnt
Hypothyroidism/myxoedema,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,19312,375471,0.0102941611863146,-0.144628011460685,,,categorical-20002-both_sexes-1226-
Y53.6 Approach to organ under video control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,272,394569,0.0104533178776044,1.18732819011933,,,categorical-41210-both_sexes-Y536-
AFFMIadjBMI custom,AFFMIadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387704,,0.0106276567084076,0.0180789329388827,,,continuous-AFFMIadjBMI_custom-both_sexes--custom
Q55.2 Examination of female genital tract under anaesthetic NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,894,212719,0.0106350601223252,0.696064711086535,,,categorical-41210-both_sexes-Q552-
Z49.5 Skin of buttock,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,791,394050,0.0110048475378406,0.710519197591295,,,categorical-41210-both_sexes-Z495-
Folic acid product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3311,391472,0.0110521732402197,-0.345638108275448,,,categorical-20003-both_sexes-1140870422-
Posterior thigh lean muscle volume (right),22404,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5147,,0.0110701267928713,-0.162014451269109,,,continuous-22404-both_sexes--irnt
Arm fat mass (right),23120,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387864,,0.0112056875986517,-0.0303249032526604,,,continuous-23120-both_sexes--irnt
Median z-statistic (in group-defined mask) for faces activation,25046,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,15902,,0.0112424345100385,0.149227392772504,,,continuous-25046-both_sexes--irnt
Eosinophill percentage,30210,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382770,,0.0113627119697779,-0.0309147506063193,,,continuous-30210-both_sexes--irnt
AFFMIadjBMI female custom,AFFMIadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,210019,,0.0115135786877668,0.0465925569564789,,,continuous-AFFMIadjBMI_female_custom-females--custom
J18.3 Total cholecystectomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,11673,383168,0.011552874776947,-0.184984965433241,,,categorical-41200-both_sexes-J183-
Anterior thigh lean muscle volume (right),22403,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5147,,0.011731666022743,-0.156298086882739,,,continuous-22403-both_sexes--irnt
Portion size,100010,continuous,,Online follow-up > Diet by 24-hour recall > Typical diet yesterday,,56026,,0.0118398535437751,0.0349151005987077,,,continuous-100010-both_sexes--
Leg fat percentage (left),23115,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387925,,0.0119601327884935,-0.0188188686648975,,,continuous-23115-both_sexes--irnt
Thyroid custom,Thyroid_custom,categorical,,Health-related outcomes > Autoimmune/Inflammatory,,20373,354529,0.0124883771987159,-0.136972307057074,,,categorical-Thyroid_custom-both_sexes--custom
BMDadjHtWt custom,BMDadjHtWt_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,382170,,0.0127427274377474,0.0299238550746688,,,continuous-BMDadjHtWt_custom-both_sexes--custom
J69 Pneumonitis due to solids and liquids,131518,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,1059,393782,0.0128018730350781,0.597441319708492,,,icd_first_occurrence-131518-both_sexes--
U54.3 Delivery of rehabilitation for stroke,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,394,394447,0.0128402826799431,0.969253286639714,,,categorical-41200-both_sexes-U543-
Z11.2 Sacral nerve,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,292,394549,0.0130590172568295,1.14913133153862,,,categorical-41210-both_sexes-Z112-
F41 Other anxiety disorders,130906,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,18338,376503,0.0131094192888827,0.145650052415417,,,icd_first_occurrence-130906-both_sexes--
Q07.4 Total abdominal hysterectomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8492,205121,0.0131268431434574,0.21610193855641,,,categorical-41200-both_sexes-Q074-
Weight,23098,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387978,,0.0131376653687283,-0.0265160222156137,,,continuous-23098-both_sexes--irnt
Knee replacement/revision,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,4912,389871,0.0131479969978939,-0.278360010514435,,,categorical-20004-both_sexes-1319-
Mean corpuscular volume,30040,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383467,,0.0133007517245075,-0.0289262463841114,,,continuous-30040-both_sexes--irnt
W84.5 Endoscopic drilling of epiphysis for repair of articular cartilage,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,213,394628,0.0134377780571191,1.31889416196092,,,categorical-41210-both_sexes-W845-
R21.4 Mid forceps cephalic delivery NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,209,213404,0.0140344985432959,1.31529730265241,,,categorical-41200-both_sexes-R214-
X38.2 Injection of steroid for local action NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,565,394276,0.0142746930184458,-0.794910306294291,,,categorical-41200-both_sexes-X382-
Arm fat percentage (right),23119,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387894,,0.0144328418080512,-0.0225688060580104,,,continuous-23119-both_sexes--irnt
Arm fat mass (left),23124,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387798,,0.0145109010300843,-0.0292157984943372,,,continuous-23124-both_sexes--irnt
X33.9 Unspecified other blood transfusion,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1312,393529,0.015066657335104,-0.530796974204182,,,categorical-41210-both_sexes-X339-
Y76.6 Endonasal endoscopic approach to other body cavity,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,180,394661,0.0150783947572537,1.40357901422231,,,categorical-41210-both_sexes-Y766-
K11 Diseases of salivary glands,131574,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2607,392234,0.0151247317754276,-0.374803486064924,,,icd_first_occurrence-131574-both_sexes--
FH Severe depression custom,FH_Severe_depression_custom,categorical,,,,53369,307546,0.0151796652964062,0.0807935947618197,,,categorical-FH_Severe_depression_custom-both_sexes--custom
M52.3 Colposuspension of neck of bladder,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,206,213407,0.0154485031753173,1.2904524543699,,,categorical-41210-both_sexes-M523-
RareCancer custom,RareCancer_custom,categorical,,Health-related outcomes > Cancer,,13042,303530,0.0158076934830994,-0.173556021352354,,,categorical-RareCancer_custom-both_sexes--custom
K83 Other diseases of biliary tract,131680,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2688,392153,0.0159277510936162,-0.369033275195513,,,icd_first_occurrence-131680-both_sexes--
Leg fat percentage (right),23111,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387945,,0.0159358436828168,-0.0182880468639561,,,continuous-23111-both_sexes--irnt
body fat percent male custom,body_fat_percent_male_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,177599,,0.016020804994585,-0.0486420279071374,,,continuous-body_fat_percent_male_custom-males--custom
Y08.8 Other specified laser therapy to organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,541,394300,0.0160353489675045,0.812984309290588,,,categorical-41210-both_sexes-Y088-
"G98 Other disorders of nervous system, not elsewhere classified",131124,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,1685,393156,0.0160713160103719,-0.461580914967564,,,icd_first_occurrence-131124-both_sexes--
Weighted-mean FA in tract cingulate gyrus part of cingulum (left),25492,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0160880320821623,0.140098720318028,,,continuous-25492-both_sexes--irnt
W83.4 Endoscopic articular abrasion chondroplasty,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,211,394630,0.0161275108479916,1.28175199445204,,,categorical-41210-both_sexes-W834-
Arm fat-free mass (left),23125,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387788,,0.0167538441318943,-0.0182751562867511,,,continuous-23125-both_sexes--irnt
BMDadjBMI custom,BMDadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,382170,,0.0167588632275183,0.0282085199118063,,,continuous-BMDadjBMI_custom-both_sexes--custom
N32 Other disorders of bladder,132058,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,13252,381589,0.0171640362362754,0.165261340949057,,,icd_first_occurrence-132058-both_sexes--
Hereditary/genetic haematological disorder,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,341,394442,0.0173319241350696,-1.01260981098406,,,categorical-20002-both_sexes-1451-
Substances taken for depression,20546,categorical,,Online follow-up > Mental health > Depression,,9299,118677,0.0178389396374846,-0.199053066134161,,,categorical-20546-both_sexes-4-
Y05.2 Partial excision of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,572,394269,0.0178674885157327,0.766327816593356,,,categorical-41210-both_sexes-Y052-
Glucose,30740,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,344692,,0.0183853240872388,-0.0304442821029219,,,continuous-30740-both_sexes--irnt
Z49.3 Skin of anterior trunk,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4393,390448,0.0184597208407955,-0.280442024514541,,,categorical-41210-both_sexes-Z493-
Recent easy annoyance or irritability,20505,continuous,,Online follow-up > Mental health > Anxiety,,127684,,0.0186726827579685,0.0296604824672526,,,continuous-20505-both_sexes--
Urinary frequency / incontinence,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1400,393383,0.0187342292676741,0.486540964441571,,,categorical-20002-both_sexes-1202-
Spasmonal 60mg capsule,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,258,394525,0.0187624914461181,1.15730512836999,,,categorical-20003-both_sexes-1140865336-
Parotid surgery / parotidectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,170,394613,0.0189745572721505,1.36134620958736,,,categorical-20004-both_sexes-1560-
Olmesartan,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,492,394291,0.0190329219903243,0.809531782303134,,,categorical-20003-both_sexes-1141193282-
Mean L2 in fornix cres+stria terminalis on FA skeleton (left),25287,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0191515292384236,-0.121076578585768,,,continuous-25287-both_sexes--irnt
H25.1 Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,637,394204,0.0192350582785818,0.721192727199113,,,categorical-41210-both_sexes-H251-
Arm fat-free mass (right),23121,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387859,,0.0192489745269799,-0.0174416700598918,,,continuous-23121-both_sexes--irnt
Z89.1 Shoulder NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,891,393950,0.0193688500202154,0.608945893162951,,,categorical-41210-both_sexes-Z891-
F44 Dissociative [conversion] disorders,130912,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,217,394624,0.019593104724774,1.1375529502921,,,icd_first_occurrence-130912-both_sexes--
