symbol	ensg	entrez
PSD2	ENSG00000146005	84249
TMTC1	ENSG00000133687	83857
ECRG4	NA	NA
NRROS	ENSG00000174004	375387
BCKDHB	ENSG00000083123	594
ZNF394	ENSG00000160908	84124
NKX6-2	ENSG00000148826	84504
ZBTB8B	ENSG00000273274	728116
ZNF215	ENSG00000149054	7762
SRXN1	ENSG00000271303	140809
UGT2B4	ENSG00000156096	7363
ZSCAN32	ENSG00000140987	54925
SNTB1	ENSG00000172164	6641
RTN2	ENSG00000125744	6253
UGT1A10	ENSG00000242515	54575
NLGN2	ENSG00000169992	57555
KCNE2	ENSG00000159197	9992
PANK2	ENSG00000125779	80025
ZNF397	ENSG00000186812	84307
MLXIPL	ENSG00000009950	51085
CA14	ENSG00000118298	23632
EEF2K	ENSG00000103319	101930123
EPM2A	ENSG00000112425	7957
FOXR2	ENSG00000189299	139628
AKAP7	ENSG00000118507	9465
PDE4DIP	ENSG00000178104	101930416
LDHD	ENSG00000166816	197257
GTF2IRD2	ENSG00000196275	84163
ABRACL	ENSG00000146386	58527
PGBD1	ENSG00000137338	84547
ZBED9-AS1	NA	NA
AWAT2	ENSG00000147160	158835
UGT3A2	ENSG00000168671	167127
CCDC71	ENSG00000177352	64925
UGT2A3	ENSG00000135220	79799
UGT1A8	ENSG00000241635	54659
UGT1A9	ENSG00000241119	54600
UGT1A5	ENSG00000240224	54579
UGT1A4	ENSG00000244474	54657
UGT1A7	ENSG00000244122	54577
UGT1A1	ENSG00000242366	54658
UGT1A6	ENSG00000167165	54578
UGT1A3	ENSG00000243135	54659
UGT2B17	ENSG00000197888	7367
UGT2B10	ENSG00000109181	101929773
XYLT1	ENSG00000103489	64131
UGT2B28	ENSG00000135226	54490
DNAJC25-GNG10	ENSG00000244115	552891
PPP1R9A	ENSG00000158528	55607
ZSCAN25	ENSG00000197037	221785
MGST1	ENSG00000008394	4257
PHLPP2	ENSG00000040199	23035
KIFC2	ENSG00000167702	90990
PTGR2	ENSG00000140043	145482
UGT2A1	ENSG00000173610	10941
APOC4	ENSG00000267467	346
ADH1C	ENSG00000248144	126
KIF12	ENSG00000136883	113220
LRRC37A2	ENSG00000238083	474170
VSIG10	ENSG00000176834	101928274
