ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000135220	79799	UGT2A3	UGT2A3	NA	Q6UWM9	NA
ENSG00000171234	7364	UGT2B7	UGT2B7	600068	P16662	NA
ENSG00000135226	54490	UGT2B28	UGT2B28	606497	Q9BY64	NA
ENSG00000156096	7363	UGT2B4	UGT2B4	600067	P06133	NA
ENSG00000173610	10941	UGT2A1	UGT2A1	604716	Q9Y4X1	NA
ENSG00000118777	9429	ABCG2	ABCG2	603756	Q9UNQ0	DB00482:DB04851:DB11995
ENSG00000197894	128	ADH5	ADH5	103710	P11766	DB00157:DB03017:DB03704:DB04153
ENSG00000198099	127	ADH4	ADH4	103740	P08319	DB00157:DB03559
ENSG00000172955	130	ADH6	ADH6	103735	P28332	NA
ENSG00000187758	124	ADH1A	ADH1A	103700	P07327	DB00157:DB01213:DB02721:DB04065
ENSG00000196616	125	ADH1B	ADH1B	103720	P00325	DB00157:DB01213:DB02481:DB02721:DB03461:DB03703:DB04105:DB09462
ENSG00000248144	126	ADH1C	ADH1C	103730	NA	NA
ENSG00000196344	131	ADH7	ADH7	600086	P40394	DB00157
ENSG00000164031	79982	DNAJB14	DNAJB14	NA	Q8TBM8	NA
ENSG00000168671	167127	UGT3A2	UGT3A2	NA	Q3SY77	NA
ENSG00000146005	84249	PSD2	PSD2	NA	Q9BQI7	NA
ENSG00000145819	23092	ARHGAP26	ARHGAP26	605370	Q9UNA1	NA
ENSG00000198055	2870	GRK6	GRK6	600869	P43250	NA
ENSG00000112685	55770	EXOC2	EXOC2	615329	Q96KP1	NA
ENSG00000137338	84547	PGBD1	PGBD1	NA	Q96JS3	NA
ENSG00000124562	6631	SNRPC	SNRPC	603522	P09234	NA
ENSG00000124721	1769	DNAH8	DNAH8	603337	Q96JB1	NA
ENSG00000137166	116113	FOXP4	FOXP4	608924	Q8IVH2	NA
ENSG00000083123	594	BCKDHB	BCKDHB	248611	P21953	NA
ENSG00000196911	3841	KPNA5	KPNA5	604545	O15131	NA
ENSG00000111860	387119	CEP85L	CEP85L	NA	Q5SZL2	NA
ENSG00000118507	9465	AKAP7	AKAP7	604693	Q9P0M2	NA
ENSG00000146386	58527	ABRACL	ABRACL	NA	Q9P1F3	NA
ENSG00000112425	7957	EPM2A	EPM2A	607566	O95278	NA
ENSG00000078269	8871	SYNJ2	SYNJ2	609410	O15056	NA
ENSG00000009950	51085	MLXIPL	MLXIPL	605678	Q9NP71	NA
ENSG00000196275	84163	GTF2IRD2	GTF2IRD2	608899	Q86UP8	NA
ENSG00000158528	55607	PPP1R9A	PPP1R9A	602468	Q9ULJ8	NA
ENSG00000160917	10898	CPSF4	CPSF4	603052	O95639	NA
ENSG00000160908	84124	ZNF394	ZNF394	NA	Q53GI3	NA
ENSG00000196652	23660	ZKSCAN5	ZKSCAN5	611272	Q9Y2L8	NA
ENSG00000197037	221785	ZSCAN25	ZSCAN25	NA	Q6NSZ9	NA
ENSG00000106258	1577	CYP3A5	CYP3A5	605325	P20815	DB11994
ENSG00000021461	64816	CYP3A43	CYP3A43	606534	Q9HB55	DB11994
ENSG00000106261	7586	ZKSCAN1	ZKSCAN1	601260	P17029	NA
ENSG00000128573	93986	FOXP2	FOXP2	605317	O15409	NA
ENSG00000197157	27044	SND1	SND1	602181	Q7KZF4	NA
ENSG00000168300	115294	PCMTD1	PCMTD1	NA	Q96MG8	NA
ENSG00000147576	137872	ADHFE1	ADHFE1	611083	Q8IWW8	NA
ENSG00000155100	51633	OTUD6B	OTUD6B	612021	Q8N6M0	NA
ENSG00000172164	6641	SNTB1	SNTB1	600026	Q13884	NA
ENSG00000167702	90990	KIFC2	KIFC2	NA	Q96AC6	NA
ENSG00000107104	23189	KANK1	KANK1	607704	Q14678	NA
ENSG00000183354	158358	KIAA2026	KIAA2026	NA	Q5HYC2	NA
ENSG00000155886	25769	SLC24A2	SLC24A2	609838	Q9UI40	NA
ENSG00000122729	48	ACO1	ACO1	100880	P21399	NA
ENSG00000137098	26206	SPAG8	SPAG8	605731	Q99932	NA
ENSG00000165092	216	ALDH1A1	ALDH1A1	100640	P00352	DB00157:DB00162:DB00755:DB04447
ENSG00000173258	158399	ZNF483	ZNF483	NA	Q8TF39	NA
ENSG00000106853	22949	PTGR1	PTGR1	601274	Q14914	DB03461:DB04066:DB07177
ENSG00000244115	552891	DNAJC25-GNG10	DNAJC25-GNG10	NA	NA	NA
ENSG00000136883	113220	KIF12	KIF12	611278	Q96FN5	NA
ENSG00000107623	2662	GDF10	GDF10	601361	P55107	NA
ENSG00000148719	54788	DNAJB12	DNAJB12	608376	Q9NXW2	NA
ENSG00000171862	5728	PTEN	PTEN	601728	P60484	DB04327
ENSG00000108242	1562	CYP2C18	CYP2C18	601131	P33260	DB07670
ENSG00000148826	84504	NKX6-2	NKX6-2	605955	Q9C056	NA
ENSG00000130649	1571	CYP2E1	CYP2E1	124040	P05181	DB11994
ENSG00000149054	7762	ZNF215	ZNF215	605016	Q9UL58	NA
ENSG00000166800	160287	LDHAL6A	LDHAL6A	NA	Q6ZMR3	DB00157
ENSG00000110422	10114	HIPK3	HIPK3	604424	Q9H422	DB12010
ENSG00000149187	10658	CELF1	CELF1	601074	Q92879	NA
ENSG00000149124	10249	GLYAT	GLYAT	607424	Q6IB77	DB00145
ENSG00000006534	221	ALDH3B1	ALDH3B1	600466	P43353	DB00157
ENSG00000186895	2248	FGF3	FGF3	164950	P11487	NA
ENSG00000165458	3636	INPPL1	INPPL1	600829	O15357	NA
ENSG00000110367	1656	DDX6	DDX6	600326	P26196	DB01694
ENSG00000134910	3703	STT3A	STT3A	601134	P46977	NA
ENSG00000008394	4257	MGST1	MGST1	138330	P10620	DB00143
ENSG00000133687	83857	TMTC1	TMTC1	NA	Q8IUR5	NA
ENSG00000167535	784	CACNB3	CACNB3	601958	P54284	DB00393:DB00661:DB01388:DB04855
ENSG00000050405	51474	LIMA1	LIMA1	608364	Q9UHB6	NA
ENSG00000050438	9498	SLC4A8	SLC4A8	605024	Q2Y0W8	NA
ENSG00000175189	3626	INHBC	INHBC	601233	P55103	NA
ENSG00000127337	8089	YEATS4	YEATS4	602116	O95619	NA
ENSG00000076555	32	ACACB	ACACB	601557	O00763	DB00121:DB00173:DB02859:DB03781:DB07870
ENSG00000139436	9815	GIT2	GIT2	608564	Q14161	NA
ENSG00000111275	217	ALDH2	ALDH2	100650	P05091	DB00157:DB00536:DB00822:DB02115:DB04381
ENSG00000176834	101928274	VSIG10	VSIG10	NA	Q8N0Z9	NA
ENSG00000132964	1024	CDK8	CDK8	603184	P49336	DB03496
ENSG00000139684	2098	ESD	ESD	133280	P10768	DB00143
ENSG00000088387	23348	DOCK9	DOCK9	607325	Q9BZ29	NA
ENSG00000185989	22821	RASA3	RASA3	605182	Q14644	NA
ENSG00000140043	145482	PTGR2	PTGR2	608642	Q8N8N7	DB00328:DB07177
ENSG00000119711	4329	ALDH6A1	ALDH6A1	603178	Q02252	DB00157
ENSG00000080824	3320	HSP90AA1	HSP90AA1	140571	P07900	DB00615:DB00716:DB02359:DB02424:DB02550:DB02754:DB02840:DB03093:DB03137:DB03504:DB03749:DB03809:DB03899:DB04054:DB04216:DB04254:DB04505:DB04588:DB05134:DB06070:DB06956:DB06957:DB06958:DB06961:DB06964:DB06969:DB07100:DB07317:DB07319:DB07324:DB07325:DB07495:DB07502:DB07594:DB07601:DB07877:DB08194:DB08197:DB08436:DB08442:DB08443:DB08557:DB08786:DB08787:DB08788:DB08789:DB09130:DB09221:DB12442
ENSG00000166165	1152	CKB	CKB	123280	P12277	DB00148:DB13191
ENSG00000138593	9728	SECISBP2L	SECISBP2L	NA	Q93073	NA
ENSG00000104064	2553	GABPB1	GABPB1	600610	Q06547	NA
ENSG00000092439	54822	TRPM7	TRPM7	605692	Q96QT4	DB04395:DB04447
ENSG00000138587	55329	MNS1	MNS1	610766	Q8NEH6	NA
ENSG00000128918	101928635	ALDH1A2	ALDH1A2	603687	O94788	DB00157:DB00162:DB00755
ENSG00000215186	55889	GOLGA6B	GOLGA6B	NA	A6NDN3	NA
ENSG00000140474	25989	ULK3	ULK3	613472	Q6PHR2	DB12010
ENSG00000184254	220	ALDH1A3	ALDH1A3	600463	P47895	DB00157:DB00162
ENSG00000188536	3040	HBA2	HBA2	141860	P69905	DB00358:DB00893:DB01592:DB01593:DB02126:DB06154:DB07427:DB07428:DB07645:DB08077:DB08262:DB08486:DB08632:DB09112:DB09130:DB09140:DB09146:DB09147:DB09517:DB13995:DB14487:DB14488:DB14489:DB14490:DB14491:DB14501:DB14533
ENSG00000100726	9894	TELO2	TELO2	611140	Q9Y4R8	NA
ENSG00000140987	54925	ZSCAN32	ZSCAN32	NA	Q9NX65	NA
ENSG00000103174	51172	NAGPA	NAGPA	607985	Q9UK23	DB00141
ENSG00000103489	64131	XYLT1	XYLT1	608124	Q86Y38	NA
ENSG00000157106	101060589	SMG1	SMG1	613182	Q96Q15	NA
ENSG00000103319	101930123	EEF2K	EEF2K	606968	O00418	NA
ENSG00000155666	79831	KDM8	KDM8	611917	Q8N371	NA
ENSG00000188322	388228	SBK1	SBK1	NA	Q52WX2	DB12010
ENSG00000197165	6799	SULT1A2	SULT1A2	601292	P50226	NA
ENSG00000196502	6817	SULT1A1	SULT1A1	171150	P50225	DB01812:DB04417
ENSG00000177548	79874	RABEP2	RABEP2	611869	Q9H5N1	NA
ENSG00000102908	10725	NFAT5	NFAT5	604708	O94916	NA
ENSG00000040199	23035	PHLPP2	PHLPP2	611066	Q6ZVD8	NA
ENSG00000166816	197257	LDHD	LDHD	607490	Q86WU2	NA
ENSG00000171724	57687	VAT1L	VAT1L	NA	Q9HCJ6	NA
ENSG00000169992	57555	NLGN2	NLGN2	606479	Q8NFZ4	NA
ENSG00000108602	218	ALDH3A1	ALDH3A1	100660	P30838	DB00157
ENSG00000108262	28964	GIT1	GIT1	608434	Q9Y2X7	NA
ENSG00000108788	6945	MLX	MLX	602976	Q9UH92	NA
ENSG00000161647	4356	MPP3	MPP3	601114	Q13368	NA
ENSG00000238083	474170	LRRC37A2	LRRC37A2	NA	A6NM11	NA
ENSG00000170921	26115	TANC2	TANC2	615047	Q9HCD6	NA
ENSG00000075461	101929306	CACNG4	CACNG4	606404	Q9UBN1	NA
ENSG00000134769	1837	DTNA	DTNA	601239	Q9Y4J8	NA
ENSG00000186812	84307	ZNF397	ZNF397	609601	Q8NF99	NA
ENSG00000141627	54808	DYM	DYM	607461	Q7RTS9	NA
ENSG00000179262	5886	RAD23A	RAD23A	600061	P54725	NA
ENSG00000197408	1555	CYP2B6	CYP2B6	123930	P20813	DB02974:DB04664:DB04794:DB08369
ENSG00000197838	1553	CYP2A13	CYP2A13	608055	Q16696	NA
ENSG00000267467	346	APOC4	APOC4	600745	P55056	NA
ENSG00000125744	6253	RTN2	RTN2	603183	O75298	NA
ENSG00000130529	54795	TRPM4	TRPM4	606936	Q8TD43	NA
ENSG00000271303	140809	SRXN1	SRXN1	NA	Q9BYN0	NA
ENSG00000125779	80025	PANK2	PANK2	606157	Q9BZ23	NA
ENSG00000089195	51605	TRMT6	TRMT6	NA	Q9UJA5	NA
ENSG00000154930	84532	ACSS1	ACSS1	614355	Q9NUB1	DB00131:DB00171
ENSG00000125967	63941	NECAB3	NECAB3	612478	Q96P71	NA
ENSG00000080845	22839	DLGAP4	DLGAP4	NA	Q9Y2H0	NA
ENSG00000159197	9992	KCNE2	KCNE2	603796	Q9Y6J6	NA
ENSG00000173276	49854	ZBTB21	ZBTB21	NA	Q9ULJ3	NA
ENSG00000130988	9104	RGN	RGN	300212	Q15493	DB11093:DB11348:DB14481
ENSG00000102100	7355	SLC35A2	SLC35A2	314375	P78381	NA
ENSG00000189299	139628	FOXR2	FOXR2	NA	Q6PJQ5	NA
ENSG00000147160	158835	AWAT2	AWAT2	NA	Q6E213	NA
ENSG00000169057	4204	MECP2	MECP2	300005	P51608	NA
